kingdom	full.seqID	domain	phylum	class	order	family	genus	species	abb
Fungi	5297.GMQ_05557T0	Eukarya	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia graminis	Eukarya_86
Fungi	5207.AAW45849	Eukarya	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Eukarya_87
Fungi	5217.XP_007002972.1	Eukarya	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	Tremella mesenterica	Eukarya_88
Fungi	82508.K1VN14	Eukarya	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon asahii	Eukarya_89
Fungi	5270.UM03183P0	Eukarya	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago maydis	Eukarya_90
Fungi	148960.XP_006958416.1	Eukarya	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia sebi	Eukarya_91
Fungi	28583.AMAG_07055T0	Eukarya	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	Allomyces macrogynus	Eukarya_92
Fungi	109760.SPPG_08740T0	Eukarya	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces punctatus	Eukarya_93
Fungi	588596.U9U903	Eukarya	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus irregularis	Eukarya_94
Fungi	78898.MVEG_07812T0	Eukarya	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella verticillata	Eukarya_95
Fungi	36080.S2JGD7	Eukarya	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	Eukarya_96
Fungi	936053.I1BWH0	Eukarya	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	Eukarya_97
Metazoa	6412.HelroP98642	Eukarya	Annelida	Clitellata	Hirudinida	Glossiphoniidae	Helobdella	Helobdella robusta	Eukarya_98
Metazoa	32264.tetur28g00560.1	Eukarya	Arthropoda	Arachnida	Trombidiformes	Tetranychidae	Tetranychus	Tetranychus urticae	Eukarya_99
Metazoa	6669.EFX83481	Eukarya	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia pulex	Eukarya_100
Metazoa	136037.KDR21159	Eukarya	Arthropoda	Insecta	Blattodea	Termopsidae	Zootermopsis	Zootermopsis nevadensis	Eukarya_101
Metazoa	7070.TC030679-PA	Eukarya	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Tribolium	Tribolium castaneum	Eukarya_102
Metazoa	7165.AGAP010278-PA	Eukarya	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles gambiae	Eukarya_103
Metazoa	7230.FBpp0172724	Eukarya	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila mojavensis	Eukarya_104
Metazoa	7370.XP_005183919.1	Eukarya	Arthropoda	Insecta	Diptera	Muscidae	Musca	Musca domestica	Eukarya_105
Metazoa	7213.XP_004518151.1	Eukarya	Arthropoda	Insecta	Diptera	Tephritidae	Ceratitis	Ceratitis capitata	Eukarya_106
Metazoa	7029.ACYPI002804-PA	Eukarya	Arthropoda	Insecta	Hemiptera	Aphididae	Acyrthosiphon	Acyrthosiphon pisum	Eukarya_107
Metazoa	13249.RPRC013989-PA	Eukarya	Arthropoda	Insecta	Hemiptera	Reduviidae	Rhodnius	Rhodnius prolixus	Eukarya_108
Metazoa	132113.XP_003494440.1	Eukarya	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens	Eukarya_109
Metazoa	69319.XP_008551938.1	Eukarya	Arthropoda	Insecta	Hymenoptera	Braconidae	Microplitis	Microplitis demolitor	Eukarya_110
Metazoa	103372.F4X717	Eukarya	Arthropoda	Insecta	Hymenoptera	Formicidae	Acromyrmex	Acromyrmex echinatior	Eukarya_111
Metazoa	7425.NV11468-PA	Eukarya	Arthropoda	Insecta	Hymenoptera	Pteromalidae	Nasonia	Nasonia vitripennis	Eukarya_112
Metazoa	7091.BGIBMGA013340-TA	Eukarya	Arthropoda	Insecta	Lepidoptera	Bombycidae	Bombyx	Bombyx mori	Eukarya_113
Metazoa	34740.HMEL011200-PA	Eukarya	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Heliconius	Heliconius melpomene	Eukarya_114
Metazoa	121225.PHUM574420-PA	Eukarya	Arthropoda	Insecta	Phthiraptera	Pediculidae	Pediculus	Pediculus humanus	Eukarya_115
Metazoa	8496.XP_006270042.1	Eukarya	Chordata		Crocodylia	Alligatoridae	Alligator	Alligator mississippiensis	Eukarya_116
Metazoa	8469.XP_007066490.1	Eukarya	Chordata		Testudines	Cheloniidae	Chelonia	Chelonia mydas	Eukarya_117
Metazoa	144197.XP_008285345.1	Eukarya	Chordata	Actinopteri		Pomacentridae	Stegastes	Stegastes partitus	Eukarya_118
Metazoa	215358.XP_010749381.1	Eukarya	Chordata	Actinopteri		Sciaenidae	Larimichthys	Larimichthys crocea	Eukarya_119
Metazoa	8090.ENSORLP00000020523	Eukarya	Chordata	Actinopteri	Beloniformes	Adrianichthyidae	Oryzias	Oryzias latipes	Eukarya_120
Metazoa	7994.ENSAMXP00000020705	Eukarya	Chordata	Actinopteri	Characiformes	Characidae	Astyanax	Astyanax mexicanus	Eukarya_121
Metazoa	8153.XP_005930357.1	Eukarya	Chordata	Actinopteri	Cichliformes	Cichlidae	Haplochromis	Haplochromis burtoni	Eukarya_122
Metazoa	7955.ENSDARP00000090537	Eukarya	Chordata	Actinopteri	Cypriniformes	Danionidae	Danio	Danio rerio	Eukarya_123
Metazoa	8081.XP_008417512.1	Eukarya	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	Poecilia reticulata	Eukarya_124
Metazoa	8010.XP_010881677.1	Eukarya	Chordata	Actinopteri	Esociformes	Esocidae	Esox	Esox lucius	Eukarya_125
Metazoa	8049.ENSGMOP00000020056	Eukarya	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	Eukarya_126
Metazoa	69293.ENSGACP00000017823	Eukarya	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	Eukarya_127
Metazoa	244447.XP_008310574.1	Eukarya	Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	Cynoglossus	Cynoglossus semilaevis	Eukarya_128
Metazoa	7918.ENSLOCP00000018790	Eukarya	Chordata	Actinopteri	Semionotiformes	Lepisosteidae	Lepisosteus	Lepisosteus oculatus	Eukarya_129
Metazoa	31033.ENSTRUP00000008113	Eukarya	Chordata	Actinopteri	Tetraodontiformes	Tetraodontidae	Takifugu	Takifugu rubripes	Eukarya_130
Metazoa	8364.ENSXETP00000049617	Eukarya	Chordata	Amphibia	Anura	Pipidae	Xenopus	Xenopus tropicalis	Eukarya_131
Metazoa	7719.XP_002131209.1	Eukarya	Chordata	Ascidiacea	Enterogona	Cionidae	Ciona	Ciona intestinalis	Eukarya_132
Metazoa	8932.XP_005513894.1	Eukarya	Chordata	Aves	Columbiformes	Columbidae	Columba	Columba livia	Eukarya_133
Metazoa	9031.ENSGALP00000041459	Eukarya	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus	Eukarya_134
Metazoa	128390.XP_009475042.1	Eukarya	Chordata	Aves	Pelecaniformes	Threskiornithidae	Nipponia	Nipponia nippon	Eukarya_135
Metazoa	7897.ENSLACP00000007736	Eukarya	Chordata	Coelacanthimorpha	Coelacanthiformes	Coelacanthidae	Latimeria	Latimeria chalumnae	Eukarya_136
Metazoa	28377.ENSACAP00000010325	Eukarya	Chordata	Lepidosauria	Squamata	Dactyloidae	Anolis	Anolis carolinensis	Eukarya_137
Metazoa	176946.XP_007440894.1	Eukarya	Chordata	Lepidosauria	Squamata	Pythonidae	Python	Python bivittatus	Eukarya_138
Metazoa	7739.XP_002597910.1	Eukarya	Chordata	Leptocardii	Amphioxiformes	Branchiostomidae	Branchiostoma	Branchiostoma floridae	Eukarya_139
Metazoa	9371.XP_004703566.1	Eukarya	Chordata	Mammalia		Tenrecidae	Echinops	Echinops telfairi	Eukarya_140
Metazoa	9767.XP_007175201.1	Eukarya	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Balaenoptera	Balaenoptera acutorostrata	Eukarya_141
Metazoa	9913.ENSBTAP00000010103	Eukarya	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	Eukarya_142
Metazoa	9733.XP_004263449.1	Eukarya	Chordata	Mammalia	Artiodactyla	Delphinidae	Orcinus	Orcinus orca	Eukarya_143
Metazoa	9694.XP_007079859.1	Eukarya	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	Eukarya_144
Metazoa	9713.XP_006745145.1	Eukarya	Chordata	Mammalia	Carnivora	Phocidae	Leptonychotes	Leptonychotes weddellii	Eukarya_145
Metazoa	109478.XP_005858154.1	Eukarya	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis brandtii	Eukarya_146
Metazoa	9305.ENSSHAP00000019475	Eukarya	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sarcophilus	Sarcophilus harrisii	Eukarya_147
Metazoa	13616.ENSMODP00000035928	Eukarya	Chordata	Mammalia	Didelphimorphia	Didelphidae	Monodelphis	Monodelphis domestica	Eukarya_148
Metazoa	9365.XP_007518776.1	Eukarya	Chordata	Mammalia	Eulipotyphla	Erinaceidae	Erinaceus	Erinaceus europaeus	Eukarya_149
Metazoa	9986.ENSOCUP00000004439	Eukarya	Chordata	Mammalia	Lagomorpha	Leporidae	Oryctolagus	Oryctolagus cuniculus	Eukarya_150
Metazoa	9978.XP_004586363.1	Eukarya	Chordata	Mammalia	Lagomorpha	Ochotonidae	Ochotona	Ochotona princeps	Eukarya_151
Metazoa	9258.ENSOANP00000002570	Eukarya	Chordata	Mammalia	Monotremata	Ornithorhynchidae	Ornithorhynchus	Ornithorhynchus anatinus	Eukarya_152
Metazoa	27679.XP_010340850.1	Eukarya	Chordata	Mammalia	Primates	Cebidae	Saimiri	Saimiri boliviensis	Eukarya_153
Metazoa	9541.XP_005557342.1	Eukarya	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	Eukarya_154
Metazoa	30611.ENSOGAP00000018220	Eukarya	Chordata	Mammalia	Primates	Galagidae	Otolemur	Otolemur garnettii	Eukarya_155
Metazoa	61853.ENSNLEP00000015759	Eukarya	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys	Eukarya_156
Metazoa	10181.XP_004841672.1	Eukarya	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber	Eukarya_157
Metazoa	10141.ENSCPOP00000015733	Eukarya	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus	Eukarya_158
Metazoa	10160.XP_004636726.1	Eukarya	Chordata	Mammalia	Rodentia	Octodontidae	Octodon	Octodon degus	Eukarya_159
Metazoa	1026970.XP_008851541.1	Eukarya	Chordata	Mammalia	Rodentia	Spalacidae	Nannospalax	Nannospalax galili	Eukarya_160
Metazoa	246437.XP_006151950.1	Eukarya	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia chinensis	Eukarya_161
Metazoa	9818.XP_007941675.1	Eukarya	Chordata	Mammalia	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus afer	Eukarya_162
Metazoa	45351.EDO38488	Eukarya	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Nematostella	Nematostella vectensis	Eukarya_163
Metazoa	6087.XP_002157214.1	Eukarya	Cnidaria	Hydrozoa	Anthoathecata	Hydridae	Hydra	Hydra vulgaris	Eukarya_164
Metazoa	27923.ML104328a-PA	Eukarya	Ctenophora	Tentaculata	Lobata	Bolinopsidae	Mnemiopsis	Mnemiopsis leidyi	Eukarya_165
Metazoa	7668.SPU_012471-tr	Eukarya	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus purpuratus	Eukarya_166
Metazoa	10224.XP_002734344.1	Eukarya	Hemichordata	Enteropneusta		Harrimaniidae	Saccoglossus	Saccoglossus kowalevskii	Eukarya_167
Metazoa	6500.XP_005109545.1	Eukarya	Mollusca	Gastropoda	Aplysiida	Aplysiidae	Aplysia	Aplysia californica	Eukarya_168
Metazoa	6326.BUX.s00083.73	Eukarya	Nematoda	Chromadorea	Rhabditida	Aphelenchoididae	Bursaphelenchus	Bursaphelenchus xylophilus	Eukarya_169
Metazoa	7209.EFO25014.2	Eukarya	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Loa	Loa loa	Eukarya_170
Metazoa	281687.CJA35904a	Eukarya	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis	Caenorhabditis japonica	Eukarya_171
Metazoa	34506.g2109	Eukarya	Nematoda	Chromadorea	Rhabditida	Strongyloididae	Strongyloides	Strongyloides ratti	Eukarya_172
Metazoa	10228.TriadP52382	Eukarya	Placozoa			Trichoplacidae	Trichoplax	Trichoplax adhaerens	Eukarya_173
Metazoa	6211.A0A068Y1C7	Eukarya	Platyhelminthes	Cestoda	Cyclophyllidea	Taeniidae	Echinococcus	Echinococcus multilocularis	Eukarya_174
Metazoa	6183.Smp_175230.1	Eukarya	Platyhelminthes	Trematoda	Strigeidida	Schistosomatidae	Schistosoma	Schistosoma mansoni	Eukarya_175
Metazoa	400682.PAC_15722103	Eukarya	Porifera	Demospongiae	Haplosclerida	Niphatidae	Amphimedon	Amphimedon queenslandica	Eukarya_176
Viridiplantae	3055.EDO98078	Eukarya	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas reinhardtii	Eukarya_177
Viridiplantae	3067.XP_002955893.1	Eukarya	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox	Volvox carteri	Eukarya_178
Viridiplantae	41875.XP_007514117.1	Eukarya	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	Eukarya_179
Viridiplantae	38833.XP_003056897.1	Eukarya	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla	Eukarya_180
Viridiplantae	554065.XP_005848544.1	Eukarya	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	Chlorella variabilis	Eukarya_181
Viridiplantae	3218.PP1S34_360V6.1	Eukarya	Streptophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens	Eukarya_182
Viridiplantae	88036.EFJ18561	Eukarya	Streptophyta	Lycopodiopsida	Selaginellales	Selaginellaceae	Selaginella	Selaginella moellendorffii	Eukarya_183
Viridiplantae	13333.ERN09120	Eukarya	Streptophyta	Magnoliopsida	Amborellales	Amborellaceae	Amborella	Amborella trichopoda	Eukarya_184
Viridiplantae	42345.XP_008786170.1	Eukarya	Streptophyta	Magnoliopsida	Arecales	Arecaceae	Phoenix	Phoenix dactylifera	Eukarya_185
Viridiplantae	81985.XP_006283329.1	Eukarya	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Capsella	Capsella rubella	Eukarya_186
Viridiplantae	28532.XP_010530820.1	Eukarya	Streptophyta	Magnoliopsida	Brassicales	Cleomaceae	Tarenaya	Tarenaya hassleriana	Eukarya_187
Viridiplantae	161934.XP_010690845.1	Eukarya	Streptophyta	Magnoliopsida	Caryophyllales	Chenopodiaceae	Beta	Beta vulgaris	Eukarya_188
Viridiplantae	3656.XP_008460959.1	Eukarya	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis melo	Eukarya_189
Viridiplantae	3847.GLYMA11G12280.2	Eukarya	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Glycine	Glycine max	Eukarya_190
Viridiplantae	4155.Migut.N00482.1.p	Eukarya	Streptophyta	Magnoliopsida	Lamiales	Phrymaceae	Erythranthe	Erythranthe guttata	Eukarya_191
Viridiplantae	3988.XP_002510427.1	Eukarya	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Ricinus	Ricinus communis	Eukarya_192
Viridiplantae	4006.Lus10040434	Eukarya	Streptophyta	Magnoliopsida	Malpighiales	Linaceae	Linum	Linum usitatissimum	Eukarya_193
Viridiplantae	3694.POPTR_0004s16470.2	Eukarya	Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus trichocarpa	Eukarya_194
Viridiplantae	29730.Gorai.009G199800.1	Eukarya	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	Gossypium raimondii	Eukarya_195
Viridiplantae	71139.XP_010060976.1	Eukarya	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus grandis	Eukarya_196
Viridiplantae	4533.OB12G19370.1	Eukarya	Streptophyta	Magnoliopsida	Poales	Poaceae	Oryza	Oryza brachyantha	Eukarya_197
Viridiplantae	4432.XP_010254749.1	Eukarya	Streptophyta	Magnoliopsida	Proteales	Nelumbonaceae	Nelumbo	Nelumbo nucifera	Eukarya_198
Viridiplantae	218851.Aquca_007_00274.1	Eukarya	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aquilegia	Aquilegia coerulea	Eukarya_199
Viridiplantae	981085.XP_010105356.1	Eukarya	Streptophyta	Magnoliopsida	Rosales	Moraceae	Morus	Morus notabilis	Eukarya_200
Viridiplantae	225117.XP_009378647.1	Eukarya	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Pyrus	Pyrus x bretschneideri	Eukarya_201
Viridiplantae	2711.XP_006487231.1	Eukarya	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus sinensis	Eukarya_202
Viridiplantae	4096.XP_009800933.1	Eukarya	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Nicotiana	Nicotiana sylvestris	Eukarya_203
Viridiplantae	29760.VIT_03s0038g04500.t01	Eukarya	Streptophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera	Eukarya_204
Viridiplantae	4641.GSMUA_Achr2P14300_001	Eukarya	Streptophyta	Magnoliopsida	Zingiberales	Musaceae	Musa	Musa acuminata	Eukarya_205
