orf	abb	genome
GVMAG-M-3300025727-44.fna|Ga0209047_1000439_20	ncldv_196	GVMAG-M-3300025727-44
GVMAG-M-3300025849-19.fna|Ga0209603_1000659_28	ncldv_197	GVMAG-M-3300025849-19
GVMAG-M-3300025860-17.fna|Ga0209119_1001069_2	ncldv_198	GVMAG-M-3300025860-17
GVMAG-M-3300025880-30.fna|Ga0209534_10000433_5	ncldv_199	GVMAG-M-3300025880-30
GVMAG-M-3300025890-48.fna|Ga0209631_10000109_23	ncldv_200	GVMAG-M-3300025890-48
GVMAG-M-3300025894-42.fna|Ga0209335_10001020_23	ncldv_201	GVMAG-M-3300025894-42
GVMAG-M-3300027736-24.fna|Ga0209190_1000016_102	ncldv_202	GVMAG-M-3300027736-24
GVMAG-M-3300027746-47.fna|Ga0209597_1000080_5	ncldv_203	GVMAG-M-3300027746-47
GVMAG-M-3300027754-9.fna|Ga0209596_1000760_19	ncldv_204	GVMAG-M-3300027754-9
GVMAG-M-3300027759-32.fna|Ga0209296_1001647_7	ncldv_205	GVMAG-M-3300027759-32
GVMAG-M-3300027763-16.fna|Ga0209088_10000085_70	ncldv_206	GVMAG-M-3300027763-16
GVMAG-M-3300027763-29.fna|Ga0209088_10000278_31	ncldv_207	GVMAG-M-3300027763-29
GVMAG-M-3300027769-26.fna|Ga0209770_10000304_6	ncldv_208	GVMAG-M-3300027769-26
GVMAG-M-3300027779-26.fna|Ga0209709_10000132_25	ncldv_209	GVMAG-M-3300027779-26
GVMAG-M-3300027779-64.fna|Ga0209709_10001394_25	ncldv_210	GVMAG-M-3300027779-64
GVMAG-M-3300027793-10.fna|Ga0209972_10000088_23	ncldv_211	GVMAG-M-3300027793-10
GVMAG-M-3300027833-11.fna|Ga0209092_10000013_61	ncldv_212	GVMAG-M-3300027833-11
GVMAG-M-3300027833-29.fna|Ga0209092_10000347_7	ncldv_213	GVMAG-M-3300027833-29
GVMAG-M-3300027969-2.fna|Ga0209191_1000003_111	ncldv_214	GVMAG-M-3300027969-2
GVMAG-S-1006661-62.fna|1006661_contig_640_21	ncldv_215	GVMAG-S-1006661-62
GVMAG-S-1026894-48.fna|1026894_contig_211_10	ncldv_216	GVMAG-S-1026894-48
GVMAG-S-1030632-69.fna|1030632_contig_935_4	ncldv_217	GVMAG-S-1030632-69
GVMAG-S-1035082-40.fna|1035082_contig_949_4	ncldv_218	GVMAG-S-1035082-40
GVMAG-S-1035088-123.fna|1035088_contig_1218_4	ncldv_219	GVMAG-S-1035088-123
GVMAG-S-1035124-57.fna|1035124_contig_4_146	ncldv_220	GVMAG-S-1035124-57
GVMAG-S-1037377-56.fna|1037377_contig_115_51	ncldv_221	GVMAG-S-1037377-56
GVMAG-S-1039698-54.fna|1039698_contig_17_75	ncldv_222	GVMAG-S-1039698-54
GVMAG-S-1039734-46.fna|1039734_contig_292_3	ncldv_223	GVMAG-S-1039734-46
GVMAG-S-1074335-3.fna|1074335_contig_109_6	ncldv_224	GVMAG-S-1074335-3
GVMAG-S-1091232-186.fna|1091232_contig_1680_30	ncldv_225	GVMAG-S-1091232-186
GVMAG-S-1101162-81.fna|1101162_contig_342_5	ncldv_226	GVMAG-S-1101162-81
GVMAG-S-1101162-85.fna|1101162_contig_1604_6	ncldv_227	GVMAG-S-1101162-85
GVMAG-S-1101162-94.fna|1101162_contig_1843_7	ncldv_228	GVMAG-S-1101162-94
GVMAG-S-1101164-76.fna|1101164_contig_277_23	ncldv_229	GVMAG-S-1101164-76
GVMAG-S-1101165-58.fna|1101165_contig_2967_6	ncldv_230	GVMAG-S-1101165-58
GVMAG-S-1101165-79.fna|1101165_contig_52_108	ncldv_231	GVMAG-S-1101165-79
GVMAG-S-1101165-81.fna|1101165_contig_242_26	ncldv_232	GVMAG-S-1101165-81
GVMAG-S-1101171-113.fna|1101171_contig_339_16	ncldv_233	GVMAG-S-1101171-113
GVMAG-S-1101172-98.fna|1101172_contig_100_9	ncldv_234	GVMAG-S-1101172-98
GVMAG-S-1101173-83.fna|1101173_contig_2420_4	ncldv_235	GVMAG-S-1101173-83
GVMAG-S-1101177-91.fna|1101177_contig_12_217	ncldv_236	GVMAG-S-1101177-91
GVMAG-S-1101178-88.fna|1101178_contig_1441_8	ncldv_237	GVMAG-S-1101178-88
GVMAG-S-1101180-64.fna|1101180_contig_119_34	ncldv_238	GVMAG-S-1101180-64
GVMAG-S-1101181-100.fna|1101181_contig_398_36	ncldv_239	GVMAG-S-1101181-100
GVMAG-S-3300000115-91.fna|3300000115.a:DelMOSum2011_c10000507_2	ncldv_240	GVMAG-S-3300000115-91
GVMAG-S-3300000177-8.fna|3300000177.a:TB18AUG2009H_c000031_29	ncldv_241	GVMAG-S-3300000177-8
GVMAG-S-3300000576-38.fna|3300000576.a:SL_7KL_010_BRINEDRAFT_10000719_2	ncldv_242	GVMAG-S-3300000576-38
GVMAG-S-3300000576-45.fna|3300000576.a:SL_7KL_010_BRINEDRAFT_10000006_3	ncldv_243	GVMAG-S-3300000576-45
GVMAG-S-3300000576-53.fna|3300000576.a:SL_7KL_010_BRINEDRAFT_10000035_26	ncldv_244	GVMAG-S-3300000576-53
GVMAG-S-3300002153-41.fna|3300002153.a:JGI24540J26637_10000017_13	ncldv_245	GVMAG-S-3300002153-41
GVMAG-S-3300002466-141.fna|3300002466.a:JGI10211J34971_10000676_17	ncldv_246	GVMAG-S-3300002466-141
GVMAG-S-3300004097-149.fna|3300004097.a:Ga0055584_100001676_24	ncldv_247	GVMAG-S-3300004097-149
GVMAG-S-3300005613-42.fna|3300005613.a:Ga0074649_1001203_17	ncldv_248	GVMAG-S-3300005613-42
GVMAG-S-3300005613-53.fna|3300005613.a:Ga0074649_1000617_34	ncldv_249	GVMAG-S-3300005613-53
GVMAG-S-3300005662-148.fna|3300005662.a:Ga0078894_10000660_17	ncldv_250	GVMAG-S-3300005662-148
GVMAG-S-3300005662-156.fna|3300005662.a:Ga0078894_10000178_23	ncldv_251	GVMAG-S-3300005662-156
GVMAG-S-3300005662-174.fna|3300005662.a:Ga0078894_10000989_20	ncldv_252	GVMAG-S-3300005662-174
GVMAG-S-3300010157-108.fna|3300010157.a:Ga0114964_10002324_8	ncldv_253	GVMAG-S-3300010157-108
GVMAG-S-3300010160-96.fna|3300010160.a:Ga0114967_10001291_15	ncldv_254	GVMAG-S-3300010160-96
GVMAG-S-3300010368-70.fna|3300010368.a:Ga0129324_10000905_18	ncldv_255	GVMAG-S-3300010368-70
GVMAG-S-3300011013-78.fna|3300011013.a:Ga0114934_10000016_54	ncldv_256	GVMAG-S-3300011013-78
GVMAG-S-3300012000-53.fna|3300012000.a:Ga0119951_1000086_17	ncldv_257	GVMAG-S-3300012000-53
GVMAG-S-3300012000-62.fna|3300012000.a:Ga0119951_1002155_9	ncldv_258	GVMAG-S-3300012000-62
GVMAG-S-3300012000-76.fna|3300012000.a:Ga0119951_1000061_60	ncldv_259	GVMAG-S-3300012000-76
GVMAG-S-3300012919-55.fna|3300012919.a:Ga0160422_10000004_86	ncldv_260	GVMAG-S-3300012919-55
GVMAG-S-3300012919-65.fna|3300012919.a:Ga0160422_10000108_10	ncldv_261	GVMAG-S-3300012919-65
GVMAG-S-3300013014-110.fna|3300013014.a:Ga0164295_10000297_10	ncldv_262	GVMAG-S-3300013014-110
GVMAG-S-3300013014-113.fna|3300013014.a:Ga0164295_10000056_52	ncldv_263	GVMAG-S-3300013014-113
GVMAG-S-3300013014-136.fna|3300013014.a:Ga0164295_10000035_70	ncldv_264	GVMAG-S-3300013014-136
GVMAG-S-3300013014-88.fna|3300013014.a:Ga0164295_10003669_11	ncldv_265	GVMAG-S-3300013014-88
GVMAG-S-3300013093-118.fna|3300013093.a:Ga0164296_1000833_27	ncldv_266	GVMAG-S-3300013093-118
GVMAG-S-3300013094-100.fna|3300013094.a:Ga0164297_10001360_15	ncldv_267	GVMAG-S-3300013094-100
GVMAG-S-3300013094-108.fna|3300013094.a:Ga0164297_10000491_15	ncldv_268	GVMAG-S-3300013094-108
GVMAG-S-403982-43.fna|403982_contig_490_6	ncldv_269	GVMAG-S-403982-43
GVMAG-S-ERX555907-102.fna|ERX555907_contig_86_39	ncldv_270	GVMAG-S-ERX555907-102
GVMAG-S-ERX555915-91.fna|ERX555915_contig_972_9	ncldv_271	GVMAG-S-ERX555915-91
GVMAG-S-ERX555964-61.fna|ERX555964_contig_393_22	ncldv_272	GVMAG-S-ERX555964-61
GVMAG-S-ERX555967-113.fna|ERX555967_contig_475_21	ncldv_273	GVMAG-S-ERX555967-113
