orf	abb	genome
GVMAG-M-3300021378-36.fna|Ga0213861_10001571_19	ncldv_90	GVMAG-M-3300021378-36
GVMAG-M-3300021958-16.fna|Ga0222718_10004606_13	ncldv_91	GVMAG-M-3300021958-16
GVMAG-M-3300021962-46.fna|Ga0222713_10000006_233	ncldv_92	GVMAG-M-3300021962-46
GVMAG-M-3300022752-33.fna|Ga0214917_10006774_7	ncldv_93	GVMAG-M-3300022752-33
GVMAG-M-3300022752-80.fna|Ga0214917_10003505_8	ncldv_94	GVMAG-M-3300022752-80
GVMAG-M-3300022752-82.fna|Ga0214917_10002746_4	ncldv_95	GVMAG-M-3300022752-82
GVMAG-M-3300023109-20.fna|Ga0233432_10003849_8	ncldv_96	GVMAG-M-3300023109-20
GVMAG-M-3300023173-22.fna|Ga0255776_10000317_48	ncldv_97	GVMAG-M-3300023173-22
GVMAG-M-3300023174-100.fna|Ga0214921_10000459_15	ncldv_98	GVMAG-M-3300023174-100
GVMAG-M-3300023174-124.fna|Ga0214921_10000163_75	ncldv_99	GVMAG-M-3300023174-124
GVMAG-M-3300023174-124.fna|Ga0214921_10000284_41	ncldv_100	GVMAG-M-3300023174-124
GVMAG-M-3300023174-134.fna|Ga0214921_10000053_12	ncldv_101	GVMAG-M-3300023174-134
GVMAG-M-3300023174-134.fna|Ga0214921_10000053_174	ncldv_102	GVMAG-M-3300023174-134
GVMAG-M-3300023174-136.fna|Ga0214921_10000739_9	ncldv_103	GVMAG-M-3300023174-136
GVMAG-M-3300023174-138.fna|Ga0214921_10002148_22	ncldv_104	GVMAG-M-3300023174-138
GVMAG-M-3300023174-174.fna|Ga0214921_10002873_9	ncldv_105	GVMAG-M-3300023174-174
GVMAG-M-3300023174-24.fna|Ga0214921_10000207_4	ncldv_106	GVMAG-M-3300023174-24
GVMAG-M-3300023174-3.fna|Ga0214921_10000302_82	ncldv_107	GVMAG-M-3300023174-3
GVMAG-M-3300023174-55.fna|Ga0214921_10005505_4	ncldv_108	GVMAG-M-3300023174-55
GVMAG-M-3300023179-103.fna|Ga0214923_10000092_49	ncldv_109	GVMAG-M-3300023179-103
GVMAG-M-3300023179-145.fna|Ga0214923_10004748_7	ncldv_110	GVMAG-M-3300023179-145
GVMAG-M-3300023179-152.fna|Ga0214923_10001684_31	ncldv_111	GVMAG-M-3300023179-152
GVMAG-M-3300023179-166.fna|Ga0214923_10004822_9	ncldv_112	GVMAG-M-3300023179-166
GVMAG-M-3300023179-26.fna|Ga0214923_10002510_1	ncldv_113	GVMAG-M-3300023179-26
GVMAG-M-3300023179-32.fna|Ga0214923_10008805_9	ncldv_114	GVMAG-M-3300023179-32
GVMAG-M-3300023179-34.fna|Ga0214923_10001801_33	ncldv_115	GVMAG-M-3300023179-34
GVMAG-M-3300023179-45.fna|Ga0214923_10002838_17	ncldv_116	GVMAG-M-3300023179-45
GVMAG-M-3300023179-59.fna|Ga0214923_10000690_27	ncldv_117	GVMAG-M-3300023179-59
GVMAG-M-3300023179-90.fna|Ga0214923_10001112_5	ncldv_118	GVMAG-M-3300023179-90
GVMAG-M-3300023179-90.fna|Ga0214923_10001112_8	ncldv_119	GVMAG-M-3300023179-90
GVMAG-M-3300023184-115.fna|Ga0214919_10000595_37	ncldv_120	GVMAG-M-3300023184-115
GVMAG-M-3300023184-117.fna|Ga0214919_10000814_40	ncldv_121	GVMAG-M-3300023184-117
GVMAG-M-3300023184-117.fna|Ga0214919_10001185_29	ncldv_122	GVMAG-M-3300023184-117
GVMAG-M-3300023184-117.fna|Ga0214919_10004240_10	ncldv_123	GVMAG-M-3300023184-117
GVMAG-M-3300023184-64.fna|Ga0214919_10002284_7	ncldv_124	GVMAG-M-3300023184-64
GVMAG-M-3300023184-72.fna|Ga0214919_10000032_118	ncldv_125	GVMAG-M-3300023184-72
GVMAG-M-3300023184-81.fna|Ga0214919_10001674_9	ncldv_126	GVMAG-M-3300023184-81
GVMAG-M-3300024252-35.fna|Ga0233435_1001287_5	ncldv_127	GVMAG-M-3300024252-35
GVMAG-M-3300025695-21.fna|Ga0209653_1000061_88	ncldv_128	GVMAG-M-3300025695-21
GVMAG-M-3300025699-48.fna|Ga0209715_1000030_1	ncldv_129	GVMAG-M-3300025699-48
GVMAG-M-3300025860-20.fna|Ga0209119_1000022_51	ncldv_130	GVMAG-M-3300025860-20
GVMAG-M-3300025860-20.fna|Ga0209119_1000022_52	ncldv_131	GVMAG-M-3300025860-20
GVMAG-M-3300025880-17.fna|Ga0209534_10001059_9	ncldv_132	GVMAG-M-3300025880-17
GVMAG-M-3300025880-30.fna|Ga0209534_10000160_48	ncldv_133	GVMAG-M-3300025880-30
GVMAG-M-3300027708-20.fna|Ga0209188_1000171_59	ncldv_134	GVMAG-M-3300027708-20
GVMAG-M-3300027708-5.fna|Ga0209188_1000224_39	ncldv_135	GVMAG-M-3300027708-5
GVMAG-M-3300027736-24.fna|Ga0209190_1001299_15	ncldv_136	GVMAG-M-3300027736-24
GVMAG-M-3300027747-57.fna|Ga0209189_1000007_102	ncldv_137	GVMAG-M-3300027747-57
GVMAG-M-3300027759-42.fna|Ga0209296_1000025_39	ncldv_138	GVMAG-M-3300027759-42
GVMAG-M-3300027892-57.fna|Ga0209550_10005545_4	ncldv_139	GVMAG-M-3300027892-57
GVMAG-M-3300027969-2.fna|Ga0209191_1000003_124	ncldv_140	GVMAG-M-3300027969-2
GVMAG-M-3300027969-2.fna|Ga0209191_1000003_125	ncldv_141	GVMAG-M-3300027969-2
GVMAG-S-1015567-333.fna|1015567_contig_10658_14	ncldv_142	GVMAG-S-1015567-333
GVMAG-S-1015567-333.fna|1015567_contig_42643_9	ncldv_143	GVMAG-S-1015567-333
GVMAG-S-1035112-32.fna|1035112_contig_16_9	ncldv_144	GVMAG-S-1035112-32
GVMAG-S-1039734-46.fna|1039734_contig_1787_8	ncldv_145	GVMAG-S-1039734-46
GVMAG-S-1040241-154.fna|1040241_contig_1_72	ncldv_146	GVMAG-S-1040241-154
GVMAG-S-1055481-12.fna|1055481_contig_34_12	ncldv_147	GVMAG-S-1055481-12
GVMAG-S-1055481-12.fna|1055481_contig_40_13	ncldv_148	GVMAG-S-1055481-12
GVMAG-S-1074260-36.fna|1074260_contig_303_2	ncldv_149	GVMAG-S-1074260-36
GVMAG-S-1101161-78.fna|1101161_contig_1629_3	ncldv_150	GVMAG-S-1101161-78
GVMAG-S-1101161-78.fna|1101161_contig_1629_5	ncldv_151	GVMAG-S-1101161-78
GVMAG-S-1101162-81.fna|1101162_contig_991_18	ncldv_152	GVMAG-S-1101162-81
GVMAG-S-1101162-94.fna|1101162_contig_702_13	ncldv_153	GVMAG-S-1101162-94
GVMAG-S-1101166-76.fna|1101166_contig_2431_5	ncldv_154	GVMAG-S-1101166-76
GVMAG-S-1101169-75.fna|1101169_contig_148_27	ncldv_155	GVMAG-S-1101169-75
GVMAG-S-1101169-75.fna|1101169_contig_222_46	ncldv_156	GVMAG-S-1101169-75
GVMAG-S-1102244-53.fna|1102244_contig_749_11	ncldv_157	GVMAG-S-1102244-53
GVMAG-S-3300000115-46.fna|3300000115.a:DelMOSum2011_c10000105_45	ncldv_158	GVMAG-S-3300000115-46
GVMAG-S-3300005662-148.fna|3300005662.a:Ga0078894_10000545_33	ncldv_159	GVMAG-S-3300005662-148
GVMAG-S-3300012000-53.fna|3300012000.a:Ga0119951_1000086_4	ncldv_160	GVMAG-S-3300012000-53
GVMAG-S-3300012000-53.fna|3300012000.a:Ga0119951_1000086_5	ncldv_161	GVMAG-S-3300012000-53
GVMAG-S-3300012000-76.fna|3300012000.a:Ga0119951_1000061_8	ncldv_162	GVMAG-S-3300012000-76
GVMAG-S-3300012919-55.fna|3300012919.a:Ga0160422_10000008_109	ncldv_163	GVMAG-S-3300012919-55
GVMAG-S-3300012919-65.fna|3300012919.a:Ga0160422_10000108_29	ncldv_164	GVMAG-S-3300012919-65
GVMAG-S-3300013131-119.fna|3300013131.a:Ga0172373_10001689_20	ncldv_165	GVMAG-S-3300013131-119
GVMAG-S-3300013132-149.fna|3300013132.a:Ga0172372_10004879_9	ncldv_166	GVMAG-S-3300013132-149
GVMAG-S-3300013285-28.fna|3300013285.a:Ga0136642_1001383_5	ncldv_167	GVMAG-S-3300013285-28
GVMAG-S-3300013285-29.fna|3300013285.a:Ga0136642_1000815_9	ncldv_168	GVMAG-S-3300013285-29
GVMAG-S-3300013285-29.fna|3300013285.a:Ga0136642_1000850_1	ncldv_169	GVMAG-S-3300013285-29
GVMAG-S-405408-21.fna|405408_contig_979_7	ncldv_170	GVMAG-S-405408-21
GVMAG-S-ERX555907-102.fna|ERX555907_contig_1241_15	ncldv_171	GVMAG-S-ERX555907-102
GVMAG-S-ERX555907-63.fna|ERX555907_contig_64_29	ncldv_172	GVMAG-S-ERX555907-63
GVMAG-S-ERX555927-53.fna|ERX555927_contig_148_40	ncldv_173	GVMAG-S-ERX555927-53
GVMAG-S-ERX555964-61.fna|ERX555964_contig_48_2	ncldv_174	GVMAG-S-ERX555964-61
GVMAG-S-ERX555987-49.fna|ERX555987_contig_120_10	ncldv_175	GVMAG-S-ERX555987-49
GVMAG-S-ERX556031-46.fna|ERX556031_contig_2_166	ncldv_176	GVMAG-S-ERX556031-46
GVMAG-S-ERX556049-19.fna|ERX556049_contig_12_35	ncldv_177	GVMAG-S-ERX556049-19
GVMAG-S-ERX556060-80.fna|ERX556060_contig_143_18	ncldv_178	GVMAG-S-ERX556060-80
GX_tailings_bin.15.fa:GX_tailings_Scaff0449550_20	ncldv_179	GX.tailings.bin.15.fa
GX_tailings_bin.15.fa:GX_tailings_Scaff1501930_21	ncldv_180	GX.tailings.bin.15.fa
HuN_tailings_bin.17.fa:HuN_tailings_Scaff0944697_16	ncldv_181	HuN.tailings.bin.17.fa
HuN_tailings_bin.17.fa:HuN_tailings_Scaff0944697_17	ncldv_182	HuN.tailings.bin.17.fa
HuN_tailings_bin.17.fa:HuN_tailings_Scaff1193518_21	ncldv_183	HuN.tailings.bin.17.fa
Marseillevirus_LCMAC103.fna|MK500343.1_7	ncldv_184	Marseillevirus.LCMAC103
PoV01b.fna|POV01B_2_27	ncldv_185	PoV01b
SRX310217.15.dc.fa|contig_28922_7	ncldv_186	SRX310217.15.dc
SRX310217.20.dc.fa|contig_19253_4	ncldv_187	SRX310217.20.dc
SRX327520.21.dc.fa|contig_156487_10	ncldv_188	SRX327520.21.dc
SRX696246.4.dc.fa|contig_367_127	ncldv_189	SRX696246.4.dc
SRX802073.61.dc.fa|contig_4569_31	ncldv_190	SRX802073.61.dc
SRX802073.68.dc.fa|contig_58323_17	ncldv_191	SRX802073.68.dc
SRX802073.74.dc.fa|contig_5497_5	ncldv_192	SRX802073.74.dc
SRX802073.74.dc.fa|contig_73634_11	ncldv_193	SRX802073.74.dc
SRX802077.79.dc.fa|contig_50750_4	ncldv_194	SRX802077.79.dc
SRX802077.79.dc.fa|contig_8904_35	ncldv_195	SRX802077.79.dc
SRX802189.96.dc.fa|contig_3123_46	ncldv_196	SRX802189.96.dc
SRX803008.78.dc.fa|contig_69334_27	ncldv_197	SRX803008.78.dc
XJ_tailings_bin.5.fa:XJ_tailings_bin.5.fa:XJ_tailings_Scaff02646025_5	ncldv_198	XJ.tailings.bin.5.fa
XJ_tailings_bin.5.fa:XJ_tailings_bin.5.fa:XJ_tailings_Scaff05145835_2	ncldv_199	XJ.tailings.bin.5.fa
DTR_022094_29	phage_1	DTR_022094
DTR_022094_297	phage_2	DTR_022094
DTR_043154_298	phage_3	DTR_043154
DTR_048777_331	phage_4	DTR_048777
DTR_102934_55	phage_5	DTR_102934
DTR_103144_40	phage_6	DTR_103144
DTR_128961_34	phage_7	DTR_128961
DTR_132303_65	phage_8	DTR_132303
DTR_143917_80	phage_9	DTR_143917
DTR_220179_71	phage_10	DTR_220179
DTR_247199_172	phage_11	DTR_247199
DTR_285751_396	phage_12	DTR_285751
DTR_349808_84	phage_13	DTR_349808
DTR_350690_17	phage_14	DTR_350690
DTR_386335_181	phage_15	DTR_386335
DTR_387290_108	phage_16	DTR_387290
DTR_420906_81	phage_17	DTR_420906
DTR_436762_13	phage_18	DTR_436762
DTR_469899_48	phage_19	DTR_469899
DTR_491418_159	phage_20	DTR_491418
DTR_508117_52	phage_21	DTR_508117
DTR_520517_129	phage_22	DTR_520517
DTR_525896_12	phage_23	DTR_525896
DTR_536748_159	phage_24	DTR_536748
DTR_538253_65	phage_25	DTR_538253
DTR_539559_95	phage_26	DTR_539559
DTR_553313_390	phage_27	DTR_553313
DTR_615033_19	phage_28	DTR_615033
DTR_624253_36	phage_29	DTR_624253
DTR_663293_218	phage_30	DTR_663293
DTR_738742_128	phage_31	DTR_738742
DTR_778544_85	phage_32	DTR_778544
DTR_825955_23	phage_33	DTR_825955
DTR_826953_36	phage_34	DTR_826953
DTR_858144_92	phage_35	DTR_858144
DTR_878501_123	phage_36	DTR_878501
DTR_884406_38	phage_37	DTR_884406
DTR_889549_188	phage_38	DTR_889549
GCA_000917535.1_236	phage_39	GCA_000917535.1
GCA_004379455.1_492	phage_40	GCA_004379455.1
GCA_004379655.1_416	phage_41	GCA_004379655.1
GD_tailings_Scaff0315010||full||full_3	phage_42	GD_tailings_Scaff0315010
GX_tailings_Scaff0136321||full||full_71	phage_43	GX_tailings_Scaff0136321
GX_tailings_Scaff0371825||full||full_159	phage_44	GX_tailings_Scaff0371825
GX_tailings_Scaff0464399||full||full_345	phage_45	GX_tailings_Scaff0464399
JX_tailings_Scaff0895827||full||full_269	phage_46	JX_tailings_Scaff0895827
