Species	Sequence ID	Subfamily	Domains	Superkingdom	seqLabel
Phytophthora_capsici	jgi|Phyca11|550678|estExt2_Genewise1Plus.C_PHYCAscaffold_380144	eEF3L	ABC1, ABC2, eEF3_heat	Eukaryota	Eukaryota_eEF3L_51
Phytophthora_capsici	jgi|Phyca11|553195|estExt2_Genewise1Plus.C_PHYCAscaffold_510244	ABCF7	ABC1, ABC2, ABCF[347]_NTD, linker	Eukaryota	Eukaryota_ABCF7_52
Phytophthora_capsici	jgi|Phyca11|575101|estExt2_Genewise1.C_PHYCAscaffold_700114	ABCF1	ABC1, ABC2, ABCF1_NTD, linker	Eukaryota	Eukaryota_ABCF1_53
Phytophthora_cinnamomi	jgi|Phyci1|108175|estExt_fgenesh1_pm.C_1380024	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_54
Phytophthora_cinnamomi	jgi|Phyci1|224605|e_gw1.42.28.1	ABCF5	ABC1, ABC2, ABCF5_NTD, arm, linker	Eukaryota	Eukaryota_ABCF5_55
Phytophthora_cinnamomi	jgi|Phyci1|294879|estExt_Genewise1.C_3000050	eEF3L	ABC1, ABC2, eEF3_heat, chromo_like, chromo, eEF3_4HB, eEF3_CTD	Eukaryota	Eukaryota_eEF3L_56
Phytophthora_cinnamomi	jgi|Phyci1|7143|gm1.7143_g	mEttA	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_mEttA_57
Phytophthora_cinnamomi	jgi|Phyci1|94709|fgenesh1_kg.74_#_8_#_Locus2549v1rpkm82.15	ABCF2	ABC1, ABC2, linker	Eukaryota	Eukaryota_ABCF2_58
Phytophthora_cinnamomi	jgi|Phyci1|97500|fgenesh1_kg.170_#_1_#_Locus2388v1rpkm88.98	eEF3L	ABC1, ABC2, eEF3_heat, eEF3_4HB	Eukaryota	Eukaryota_eEF3L_59
Phytophthora_cinnamomi	jgi|Phyci1|98838|fgenesh1_kg.255_#_7_#_Locus4036v1rpkm46.26	ABCF7	ABC1, ABC2, ABCF[347]_NTD, linker	Eukaryota	Eukaryota_ABCF7_60
Pseudo-nitzschia_multiseries	jgi|Psemu1|104740|gw1.1324.1.1	ABCF4	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF4_61
Pseudo-nitzschia_multiseries	jgi|Psemu1|160370|gw1.727.17.1	ABCF2	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF2_62
Pseudo-nitzschia_multiseries	jgi|Psemu1|188286|e_gw1.75.30.1	ABCF4	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF4_63
Pseudo-nitzschia_multiseries	jgi|Psemu1|200235|e_gw1.253.52.1	ABCF4	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF4_64
Pseudo-nitzschia_multiseries	jgi|Psemu1|247149|estExt_Genewise1.C_9640012	algEttA	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_algEttA_65
Pseudo-nitzschia_multiseries	jgi|Psemu1|247826|estExt_Genewise1.C_12770005	cpYdif	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_cpYdif_66
Pseudo-nitzschia_multiseries	jgi|Psemu1|261223|estExt_Genewise1Plus.C_5480026	algAF1	ABC1, ABC2, bact_CTD_extensions, arm, linker	Eukaryota	Eukaryota_algAF1_67
Pseudo-nitzschia_multiseries	jgi|Psemu1|263416|estExt_Genewise1Plus.C_10190037	ABCF2	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF2_68
Pseudo-nitzschia_multiseries	jgi|Psemu1|285520|fgenesh1_pg.91_#_28	algAF1	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_algAF1_69
Pseudo-nitzschia_multiseries	jgi|Psemu1|289212|fgenesh1_pg.334_#_10	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_70
Pseudo-nitzschia_multiseries	jgi|Psemu1|293991|fgenesh1_pm.4_#_32	ABCF7	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF7_71
Pseudo-nitzschia_multiseries	jgi|Psemu1|306441|fgenesh1_kg.258_#_6_#_1862_1_CCCI_CCOA_CCOB_CCOC_CFAP_CFAS	eEF3L	ABC1, ABC2, chromo_like	Eukaryota	Eukaryota_eEF3L_72
Pseudo-nitzschia_multiseries	jgi|Psemu1|319462|estExt_fgenesh1_pm.C_2270003	eEF3L	ABC1, ABC2, eEF3_heat, chromo_like, eEF3_4HB, eEF3_CTD	Eukaryota	Eukaryota_eEF3L_73
Pseudo-nitzschia_multiseries	jgi|Psemu1|320503|estExt_fgenesh1_pm.C_5980006	algUup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Eukaryota	Eukaryota_algUup_74
Schizochytrium_aggregatum	jgi|Schag1|12000|gw1.3.109.1	eEF3L	ABC1, ABC2, eEF3_heat, chromo_like	Eukaryota	Eukaryota_eEF3L_75
Schizochytrium_aggregatum	jgi|Schag1|27401|gw1.1.1302.1	ABCF4	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF4_76
Schizochytrium_aggregatum	jgi|Schag1|35996|e_gw1.10.244.1	ABCF4	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF4_77
Schizochytrium_aggregatum	jgi|Schag1|78856|estExt_Genewise1Plus.C_750010	YdiF	ABC1, ABC2	Eukaryota	Eukaryota_YdiF_78
Schizochytrium_aggregatum	jgi|Schag1|82140|fgenesh1_kg.8_#_72_#_isotig03451	eEF3L	ABC1, ABC2, eEF3_heat	Eukaryota	Eukaryota_eEF3L_79
Schizochytrium_aggregatum	jgi|Schag1|82996|fgenesh1_kg.14_#_37_#_isotig04103	ABCF7	ABC1, ABC2, ABCF[347]_NTD, arm, linker	Eukaryota	Eukaryota_ABCF7_80
Schizochytrium_aggregatum	jgi|Schag1|84993|fgenesh1_kg.35_#_20_#_isotig01304	ABCF1	ABC1, ABC2, arm	Eukaryota	Eukaryota_ABCF1_81
Schizochytrium_aggregatum	jgi|Schag1|96728|fgenesh1_pm.29_#_3	ABCF2	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF2_82
Gallus_gallus	NP_001006562.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_83
Rattus_norvegicus	NP_001011896.1	ABCF3	ABC1, ABC2, ABCF[347]_NTD, arm, linker	Eukaryota	Eukaryota_ABCF3_84
Homo_sapiens	NP_001020262.1	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_85
Pan_troglodytes	NP_001035838.1	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_86
Bos_taurus	NP_001039601.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_87
Bombyx_mori	NP_001040334.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_88
Oryza_sativa_Japonica_Group	NP_001050461.1	ABCF1	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF1_89
Oryza_sativa_Japonica_Group	NP_001062528.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_90
Oryza_sativa_Japonica_Group	NP_001063997.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_91
Oryza_sativa_Japonica_Group	NP_001068237.1	cpYdif	ABC1, ABC2, linker	Eukaryota	Eukaryota_cpYdif_92
Bos_taurus	NP_001076926.1	ABCF3	ABC1, ABC2, ABCF[347]_NTD, arm, linker	Eukaryota	Eukaryota_ABCF3_93
Homo_sapiens	NP_001081.1	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_94
Macaca_mulatta	NP_001098632.1	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_95
Rattus_norvegicus	NP_001103136.1	ABCF2	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF2_96
Rattus_norvegicus	NP_001103353.1	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_97
Zea_mays	NP_001105535.1	cpYdif	ABC1, ABC2, linker	Eukaryota	Eukaryota_cpYdif_98
Sus_scrofa	NP_001116541.1	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_99
Xenopus_(Silurana)_tropicalis	NP_001120542.1	ABCF3	ABC1, ABC2, ABCF[347]_NTD, arm, linker	Eukaryota	Eukaryota_ABCF3_100
Pongo_abelii	NP_001125831.1	ABCF3	ABC1, ABC2, ABCF[347]_NTD, arm, linker	Eukaryota	Eukaryota_ABCF3_101
Zea_mays	NP_001131322.1	ABCF7	ABC1, ABC2, linker	Eukaryota	Eukaryota_ABCF7_102
Zea_mays	NP_001142043.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_103
Zea_mays	NP_001168328.1	ABCF1	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF1_104
Mus_musculus	NP_001177372.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_105
Danio_rerio	NP_001188290.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_106
Bos_taurus	NP_001193838.1	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_107
Glycine_max	NP_001236916.1	ABCF7	ABC1, ABC2, ABCF[347]_NTD, arm, linker	Eukaryota	Eukaryota_ABCF7_108
Drosophila_melanogaster	NP_001285130.1	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_109
Drosophila_melanogaster	NP_001285284.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_110
Homo_sapiens	NP_005683.2	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_111
Homo_sapiens	NP_009120.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_112
Saccharomyces_cerevisiae_S288c	NP_010953.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_113
Saccharomyces_cerevisiae_S288c	NP_013350.1	eEF3	ABC1, ABC2, eEF3_heat, chromo_like, chromo, eEF3_4HB, eEF3_CTD	Eukaryota	Eukaryota_eEF3_114
Saccharomyces_cerevisiae_S288c	NP_014384.3	eEF3	ABC1, ABC2, eEF3_heat, chromo_like, chromo, eEF3_4HB, eEF3_CTD	Eukaryota	Eukaryota_eEF3_115
Saccharomyces_cerevisiae_S288c	NP_015098.1	New1	New1_prion, ABC1, ABC2, eEF3_heat, chromo_like, chromo, New1_CTD	Eukaryota	Eukaryota_New1_116
Mus_musculus	NP_038880.1	ABCF3	ABC1, ABC2, ABCF[347]_NTD, arm, linker	Eukaryota	Eukaryota_ABCF3_117
Mus_musculus	NP_038881.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_118
Mus_musculus	NP_038882.1	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_119
Homo_sapiens	NP_060828.2	ABCF3	ABC1, ABC2, ABCF[347]_NTD, arm, linker	Eukaryota	Eukaryota_ABCF3_120
Mesorhizobium_loti_MAFF303099	NP_103156.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_121
Mesorhizobium_loti_MAFF303099	NP_103481.1	YdiF	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YdiF_122
Mesorhizobium_loti_MAFF303099	NP_104881.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_123
Mesorhizobium_loti_MAFF303099	NP_108140.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_124
Saccharomyces_cerevisiae_S288c	NP_116664.1	ABCF3	ABC1, ABC2, ABCF3_NTD, arm, linker	Eukaryota	Eukaryota_ABCF3_125
Arabidopsis_thaliana	NP_176636.1	ABCF7	ABC1, ABC2, ABCF[347]_NTD, arm, linker	Eukaryota	Eukaryota_ABCF7_126
Arabidopsis_thaliana	NP_196555.2	cpYdif	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_cpYdif_127
Arabidopsis_thaliana	NP_200887.1	ABCF2	ABC1, ABC2, ABCF2_NTD, arm, linker	Eukaryota	Eukaryota_ABCF2_128
Arabidopsis_thaliana	NP_201289.1	cpYdif	ABC1, ABC2, linker	Eukaryota	Eukaryota_cpYdif_129
Helicobacter_pylori_26695	NP_207647.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_130
Borrelia_burgdorferi_B31	NP_212876.2	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_131
Treponema_pallidum_subsp._pallidum_str._Nichols	NP_219274.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_132
Chlamydia_trachomatis_D_UW-3_CX	NP_219855.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_133
Bacillus_halodurans_C-125	NP_241416.1	YdiF	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YdiF_134
Bacillus_halodurans_C-125	NP_242766.1	ARE1	ABC1, ABC2, ARE1_2_CTD, linker	Bacteria	Bacteria_ARE1_135
Bacillus_halodurans_C-125	NP_242891.1	YdiF	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YdiF_136
Pasteurella_multocida_subsp._multocida_str._Pm70	NP_245362.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_137
Pasteurella_multocida_subsp._multocida_str._Pm70	NP_245814.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_138
Pasteurella_multocida_subsp._multocida_str._Pm70	NP_246521.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_139
Pseudomonas_aeruginosa_PAO1	NP_250116.1	BAF2	ABC1, ABC2	Bacteria	Bacteria_BAF2_140
Pseudomonas_aeruginosa_PAO1	NP_250654.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_141
Pseudomonas_aeruginosa_PAO1	NP_251709.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_142
Pseudomonas_aeruginosa_PAO1	NP_253285.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_143
Pseudomonas_aeruginosa_PAO1	NP_253939.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_144
Lactococcus_lactis_subsp._lactis_Il1403	NP_266228.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_145
Lactococcus_lactis_subsp._lactis_Il1403	NP_266256.1	YfmM	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YfmM_146
Lactococcus_lactis_subsp._lactis_Il1403	NP_267055.1	ARE3	ABC1, ABC2, linker	Bacteria	Bacteria_ARE3_147
Lactococcus_lactis_subsp._lactis_Il1403	NP_267218.1	YdiF	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YdiF_148
Lactococcus_lactis_subsp._lactis_Il1403	NP_267711.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_149
Streptococcus_pyogenes_M1_GAS	NP_269069.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_150
Streptococcus_pyogenes_M1_GAS	NP_269198.1	YdiF	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YdiF_151
Streptococcus_pyogenes_M1_GAS	NP_269345.1	YfmM	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YfmM_152
Streptococcus_pyogenes_M1_GAS	NP_270116.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_153
Neisseria_meningitidis_MC58	NP_273436.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_154
Neisseria_meningitidis_MC58	NP_274085.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_155
Neisseria_meningitidis_MC58	NP_274250.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_156
Neisseria_meningitidis_MC58	NP_274264.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_157
Deinococcus_radiodurans_R1	NP_294198.1	YdiF	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YdiF_158
Deinococcus_radiodurans_R1	NP_294827.1	YdiF	ABC1, ABC2, arm	Bacteria	Bacteria_YdiF_159
Deinococcus_radiodurans_R1	NP_295358.1	YdiF	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YdiF_160
Chlamydia_muridarum_str._Nigg	NP_297001.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_161
Xylella_fastidiosa_9a5c	NP_298234.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_162
Xylella_fastidiosa_9a5c	NP_299412.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_163
Xylella_fastidiosa_9a5c	NP_299894.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_164
Mycoplasma_pulmonis_UAB_CTIP	NP_326521.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_165
Mycobacterium_tuberculosis_CDC1551	NP_335970.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_166
Mycobacterium_tuberculosis_CDC1551	NP_336160.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_167
Mycobacterium_tuberculosis_CDC1551	NP_337040.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_168
Streptococcus_pneumoniae_TIGR4	NP_345268.1	YfmM	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YfmM_169
