Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	Syn-Subs	Nonsyn-Subs	Fold-Syn-Subs(0:2:4)	Fold-Nonsyn-Subs(0:2:4)	Divergence-Distance	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model	kingdom
eukaryote_dfr_Cluster.10_10-eukaryote_dfr_Cluster.10_21	MA	0.0224268	0.224371	0.0999542	5.31847e-29	1590	365.211	1224.79	NA	94	70.4008	23.5992	NA	NA	0.0688118	2.43899:2.6977:1.51595:1.6119:0.370521:1	0.430818(0.508491:0.39717:0.386792)	-2518.68	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_10-eukaryote_dfr_Cluster.10_22	MA	0.0786516	1.16665	0.0674164	2.56764e-135	1578	309.397	1268.6	NA	279	218.58	60.4204	NA	NA	0.291975	1.87363:2.18895:1.68023:1.67816:0.982292:1	0.420152(0.505703:0.392586:0.362167)	-2910.83	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_11-eukaryote_dfr_Cluster.10_12	MA	0.113321	3.43897	0.032952	0	1575	304.121	1270.88	NA	379	333.128	45.8722	NA	NA	0.75548	1.05592:2.02912:0.674648:0.984232:0.307135:1	0.41873(0.505714:0.391429:0.359048)	-3070.93	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_11-eukaryote_dfr_Cluster.10_13	MA	0.0131435	0.0901002	0.145876	9.32555e-11	1581	349.057	1231.94	NA	45	29.706	15.294	NA	NA	0.0301341	5.78583:4.21619:2.84725:2.82231:0.857275:1	0.413346(0.510436:0.388994:0.340607)	-2270.93	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_11-eukaryote_dfr_Cluster.10_14	MA	0.112776	3.4666	0.0325323	0	1575	308.074	1266.93	NA	379	334.278	44.7218	NA	NA	0.768791	1.24604:1.7319:0.933533:1.1473:0.392392:1	0.417143(0.505714:0.389524:0.35619)	-3062.38	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_11-eukaryote_dfr_Cluster.10_15	MA	0.103507	1.52323	0.0679525	8.97482e-175	1581	327.172	1253.83	NA	339	268.959	70.0411	NA	NA	0.397305	1.72329:2.01135:1.13197:1.21084:0.507834:1	0.424415(0.502846:0.388046:0.382353)	-3048.51	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_11-eukaryote_dfr_Cluster.10_16	MA	0.0943235	2.09036	0.0451231	6.86492e-251	1578	291.77	1286.23	NA	345	287.759	57.2409	NA	NA	0.463387	0.953358:1.0501:0.757577:0.898843:0.410802:1	0.417617(0.511407:0.396388:0.345057)	-3022.86	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_11-eukaryote_dfr_Cluster.10_17	MA	0.0849588	1.47474	0.0576093	1.46908e-173	1575	295.085	1279.92	NA	306	244.824	61.176	NA	NA	0.345342	1.03263:1.79008:0.608811:0.892996:0.446671:1	0.419048(0.506667:0.384762:0.365714)	-2954.6	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_11-eukaryote_dfr_Cluster.10_18	MA	0.101562	1.2413	0.0818193	7.12412e-142	1581	314.162	1266.84	NA	314	236.103	77.8975	NA	NA	0.328041	1.45026:1.4119:1.2358:1.29776:0.673639:1	0.42568(0.518027:0.393738:0.365275)	-3027	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_11-eukaryote_dfr_Cluster.10_19	MA	0.100741	1.18651	0.0849059	2.08447e-133	1575	320.158	1254.84	NA	308	231.095	76.9047	NA	NA	0.321451	1.90281:1.87213:1.5716:1.60907:0.688457:1	0.423175(0.515238:0.391429:0.362857)	-3008.8	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_11-eukaryote_dfr_Cluster.10_20	MA	0.0973066	1.23618	0.0787157	1.0399e-136	1575	330.35	1244.65	NA	307	236.778	70.2223	NA	NA	0.33618	1.99672:2.17293:1.47307:1.53675:0.584431:1	0.425397(0.517143:0.392381:0.366667)	-2997.31	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_11-eukaryote_dfr_Cluster.10_21	MA	0.0936565	1.22769	0.0762869	5.2729e-137	1575	324.279	1250.72	NA	301	232.57	68.43	NA	NA	0.327143	1.92757:1.99003:1.4776:1.50606:0.5914:1	0.421587(0.513333:0.392381:0.359048)	-2981.26	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_11-eukaryote_dfr_Cluster.10_22	MA	0.0936669	1.67831	0.0558102	7.33428e-192	1578	291.509	1286.49	NA	320	256.76	63.2405	NA	NA	0.386403	1.72487:1.88104:1.65669:1.58171:0.907364:1	0.410646(0.508555:0.389734:0.33365)	-2971.21	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_12-eukaryote_dfr_Cluster.10_13	MA	0.110842	3.38004	0.0327932	0	1578	299.252	1278.75	NA	381	334.172	46.8276	NA	NA	0.730812	1.08629:2.4568:0.80672:1.1082:0.315865:1	0.415716(0.501901:0.386882:0.358365)	-3067.11	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_12-eukaryote_dfr_Cluster.10_14	MA	0.00795206	0.0439446	0.180956	7.57511e-05	1581	274.964	1306.04	NA	22	11.831	10.169	NA	NA	0.0142118	4.57328:8.2778:6.75631:7.90069:9.30504:1	0.420936(0.5:0.389943:0.372865)	-2190.66	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_12-eukaryote_dfr_Cluster.10_15	MA	0.106595	1.90456	0.0559682	2.62624e-222	1581	312.504	1268.5	NA	356	290.095	65.9046	NA	NA	0.461986	1.1842:2.00135:0.771776:1.15405:0.619699:1	0.426629(0.495256:0.386148:0.398482)	-3079.27	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_12-eukaryote_dfr_Cluster.10_16	MA	0.116452	2.72058	0.0428042	0	1581	315.228	1265.77	NA	380	324.266	55.7338	NA	NA	0.635676	1.77466:2.16211:1.45127:1.56582:0.751964:1	0.420304(0.502846:0.393738:0.364326)	-3101.92	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_12-eukaryote_dfr_Cluster.10_17	MA	0.1033	1.83477	0.0563013	9.22871e-215	1581	291.332	1289.67	NA	340	272.167	67.8334	NA	NA	0.42236	1.1006:2.60695:0.890406:1.58891:0.536989:1	0.422201(0.5:0.383302:0.383302)	-3033.06	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_12-eukaryote_dfr_Cluster.10_18	MA	0.102821	1.59757	0.0643608	1.12557e-181	1578	318.613	1259.39	NA	335	267.06	67.9402	NA	NA	0.404624	1.69997:2.34324:1.38413:1.78618:0.855457:1	0.429341(0.510456:0.393536:0.38403)	-3034.96	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_12-eukaryote_dfr_Cluster.10_19	MA	0.104708	1.72833	0.0605834	1.49627e-192	1578	323.185	1254.81	NA	343	277.682	65.3176	NA	NA	0.437238	1.94166:2.64067:1.48259:1.60781:1.0845:1	0.425856(0.506654:0.390684:0.380228)	-3038.2	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_12-eukaryote_dfr_Cluster.10_20	MA	0.107529	1.74795	0.0615175	3.12349e-189	1578	328.167	1249.83	NA	342	277.082	64.9178	NA	NA	0.448677	1.99075:3.20438:1.21948:1.40277:1.15503:1	0.428074(0.508555:0.391635:0.38403)	-3039.66	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_12-eukaryote_dfr_Cluster.10_21	MA	0.105655	1.73054	0.0610533	6.34726e-186	1578	326.705	1251.29	NA	337	273.132	63.8682	NA	NA	0.442067	2.14581:2.93322:1.47843:1.58626:1.145:1	0.424271(0.504753:0.391635:0.376426)	-3029.47	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_12-eukaryote_dfr_Cluster.10_22	MA	0.103169	2.06485	0.0499643	2.02237e-225	1581	296.885	1284.11	NA	340	279.58	60.42	NA	NA	0.47154	1.67486:3.171:1.39475:1.60848:0.904908:1	0.413978(0.501898:0.388994:0.351044)	-3019.49	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_13-eukaryote_dfr_Cluster.10_14	MA	0.109668	3.51282	0.0312195	0	1578	304.211	1273.79	NA	380	336.069	43.9315	NA	NA	0.765736	1.25023:2.00387:0.923017:1.19448:0.379242:1	0.414766(0.501901:0.385932:0.356464)	-3058.66	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_13-eukaryote_dfr_Cluster.10_15	MA	0.101865	1.40815	0.0723395	1.83587e-164	1584	318.745	1265.25	NA	330	256.38	73.6198	NA	NA	0.364726	1.75063:2.03837:1.30898:1.35877:0.65204:1	0.421402(0.498106:0.38447:0.381629)	-3040.24	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_13-eukaryote_dfr_Cluster.10_16	MA	0.0981349	1.82534	0.0537624	1.12879e-219	1581	302.851	1278.15	NA	345	281.197	63.803	NA	NA	0.428993	1.48987:1.56694:1.20577:1.24656:0.611451:1	0.414927(0.506641:0.391841:0.3463)	-3028.03	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_13-eukaryote_dfr_Cluster.10_17	MA	0.0838222	1.41935	0.059057	2.45666e-170	1578	299.802	1278.2	NA	306	244.45	61.5496	NA	NA	0.337557	1.25145:2.09953:0.794706:0.921807:0.551098:1	0.41635(0.503802:0.379278:0.36597)	-2947.92	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_13-eukaryote_dfr_Cluster.10_18	MA	0.0908444	1.2403	0.0732436	5.49564e-144	1581	318.01	1262.99	NA	304	235.496	68.5036	NA	NA	0.322052	1.88895:1.71149:1.63741:1.69518:0.821403:1	0.423782(0.514231:0.389943:0.367173)	-2978.4	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_13-eukaryote_dfr_Cluster.10_19	MA	0.10137	1.2149	0.083439	4.33552e-135	1578	312.485	1265.52	NA	307	229.462	77.5385	NA	NA	0.321878	2.04258:1.95629:1.8565:1.87245:0.998638:1	0.420152(0.510456:0.386882:0.363118)	-3006.27	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_13-eukaryote_dfr_Cluster.10_20	MA	0.0992549	1.28328	0.0773446	1.58646e-142	1578	320.793	1257.21	NA	309	237.124	71.8764	NA	NA	0.339957	2.20173:2.42961:1.92745:1.94992:0.858447:1	0.42237(0.512357:0.387833:0.36692)	-2994.13	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_13-eukaryote_dfr_Cluster.10_21	MA	0.096216	1.24911	0.0770276	3.59333e-138	1578	315.182	1262.82	NA	302	230.777	71.2227	NA	NA	0.326489	2.04348:2.17001:1.74611:1.7559:0.868376:1	0.418568(0.508555:0.387833:0.359316)	-2980.63	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_13-eukaryote_dfr_Cluster.10_22	MA	0.0957361	1.71016	0.0559807	3.41214e-195	1581	288.999	1292	NA	322	257.545	64.455	NA	NA	0.390846	1.70204:1.9878:1.69614:1.57852:0.905819:1	0.40797(0.504744:0.385199:0.333966)	-2975.3	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_14-eukaryote_dfr_Cluster.10_15	MA	0.103143	1.92541	0.0535696	3.24182e-225	1581	320.706	1260.29	NA	359	296.568	62.4321	NA	NA	0.47279	1.33099:1.90699:0.969855:1.13801:0.624476:1	0.42568(0.496205:0.385199:0.395636)	-3067.85	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_14-eukaryote_dfr_Cluster.10_16	MA	0.110868	2.95772	0.0374842	0	1581	315.051	1265.95	NA	378	328.519	49.4815	NA	NA	0.67817	1.79775:1.95357:1.54062:1.62127:0.764602:1	0.419355(0.503795:0.392789:0.36148)	-3084.56	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_14-eukaryote_dfr_Cluster.10_17	MA	0.0987749	1.84222	0.0536172	1.26673e-219	1581	296.361	1284.64	NA	342	277.504	64.4961	NA	NA	0.425587	1.20874:2.45481:0.939304:1.4727:0.667801:1	0.421252(0.500949:0.382353:0.380455)	-3021.3	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_14-eukaryote_dfr_Cluster.10_18	MA	0.0982348	1.62443	0.0604734	5.09019e-186	1578	321.579	1256.42	NA	334	270.167	63.833	NA	NA	0.409256	1.82542:2.13356:1.6208:1.87818:0.869502:1	0.42839(0.511407:0.392586:0.381179)	-3017.88	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_14-eukaryote_dfr_Cluster.10_19	MA	0.0980454	1.75982	0.0557132	5.37716e-198	1578	322.587	1255.41	NA	339	278.595	60.4048	NA	NA	0.437759	1.94536:2.34179:1.62238:1.68008:1.02646:1	0.424905(0.507605:0.389734:0.377376)	-3016.62	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_14-eukaryote_dfr_Cluster.10_20	MA	0.104163	1.69852	0.0613257	9.55611e-184	1578	332.942	1245.06	NA	339	275.76	63.2404	NA	NA	0.440557	2.23999:2.75837:1.65079:1.71547:1.02661:1	0.427123(0.509506:0.390684:0.381179)	-3025.46	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_14-eukaryote_dfr_Cluster.10_21	MA	0.102347	1.73956	0.0588348	1.37519e-186	1578	329.375	1248.62	NA	336	274.726	61.2738	NA	NA	0.444081	2.37407:2.61183:1.90889:1.94273:1.02324:1	0.423321(0.505703:0.390684:0.373574)	-3015.57	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_14-eukaryote_dfr_Cluster.10_22	MA	0.100676	2.07039	0.0486266	2.09949e-228	1581	298.585	1282.42	NA	340	281.259	58.741	NA	NA	0.472673	1.86148:2.87955:1.59724:1.79987:0.988311:1	0.41303(0.502846:0.388046:0.348197)	-3006.22	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_15-eukaryote_dfr_Cluster.10_16	MA	0.103541	1.79072	0.0578208	1.00883e-203	1584	315.787	1268.21	NA	346	280.796	65.2039	NA	NA	0.439899	1.35719:1.76709:0.872253:1.09961:0.50692:1	0.424874(0.498106:0.390152:0.386364)	-3070.94	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_15-eukaryote_dfr_Cluster.10_17	MA	0.0805583	1.08445	0.0742848	2.14e-129	1581	307.139	1273.86	NA	280	214.051	65.9487	NA	NA	0.275583	1.05446:2.12851:0.6093:0.601206:0.674849:1	0.426945(0.495256:0.378558:0.407021)	-2940.07	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_15-eukaryote_dfr_Cluster.10_18	MA	0.093564	1.08383	0.0863273	1.04277e-119	1584	342.887	1241.11	NA	295	224.767	70.233	NA	NA	0.307926	2.31545:2.44528:1.67331:1.75568:0.621915:1	0.434343(0.506629:0.389205:0.407197)	-2992.2	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_15-eukaryote_dfr_Cluster.10_19	MA	0.0954085	1.09245	0.0873345	2.48999e-117	1578	339.026	1238.97	NA	291	220.594	70.4058	NA	NA	0.309618	2.18012:2.19807:1.601:1.68512:0.487652:1	0.430925(0.502852:0.385932:0.403992)	-2994.96	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_15-eukaryote_dfr_Cluster.10_20	MA	0.0926748	0.989288	0.0936782	1.06715e-109	1590	343.497	1246.5	NA	287	214.188	72.8122	NA	NA	0.286375	1.70507:2.52469:0.713204:0.916516:0.668895:1	0.432704(0.503774:0.387736:0.406604)	-2989.59	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_15-eukaryote_dfr_Cluster.10_21	MA	0.0852667	0.968109	0.0880756	4.13091e-106	1578	339.304	1238.7	NA	272	205.821	66.179	NA	NA	0.275097	1.78558:2.26269:0.961903:1.169:0.518724:1	0.429341(0.500951:0.386882:0.40019)	-2938.13	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_15-eukaryote_dfr_Cluster.10_22	MA	0.0892115	1.19366	0.074738	1.24568e-139	1584	309.588	1274.41	NA	297	227.124	69.8762	NA	NA	0.305072	1.89104:1.9588:1.61315:1.62238:0.785811:1	0.417929(0.496212:0.38447:0.373106)	-2964.78	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_16-eukaryote_dfr_Cluster.10_17	MA	0.0919339	1.24587	0.0737909	1.81557e-145	1581	295.144	1285.86	NA	301	227.774	73.2261	NA	NA	0.307353	1.108:1.45254:0.796633:1.06553:0.502852:1	0.420304(0.503795:0.386148:0.370968)	-2992.91	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_16-eukaryote_dfr_Cluster.10_18	MA	0.0897413	1.47835	0.0607038	1.4825e-168	1581	318.735	1262.26	NA	315	253.95	61.0499	NA	NA	0.369689	1.41008:2.11797:0.855946:1.12311:0.552249:1	0.427894(0.516129:0.397533:0.370019)	-2999.34	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_16-eukaryote_dfr_Cluster.10_19	MA	0.090032	1.40724	0.0639778	4.29995e-160	1578	314.046	1263.95	NA	307	244.136	62.8636	NA	NA	0.352177	2.1404:2.64278:1.83473:2.17818:0.938015:1	0.424271(0.510456:0.393536:0.368821)	-2989.14	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_16-eukaryote_dfr_Cluster.10_20	MA	0.0839804	1.34053	0.062647	1.58201e-153	1578	313.854	1264.15	NA	298	237.956	60.0436	NA	NA	0.333901	1.71703:2.91426:1.15756:1.72653:0.709001:1	0.426172(0.512357:0.394487:0.371673)	-2962.76	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_16-eukaryote_dfr_Cluster.10_21	MA	0.0824848	1.29899	0.063499	1.25055e-149	1578	312.086	1265.91	NA	292	232.194	59.8063	NA	NA	0.323078	1.84787:2.92366:1.35947:1.76045:0.806642:1	0.42237(0.508555:0.394487:0.364068)	-2947.93	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_16-eukaryote_dfr_Cluster.10_22	MA	0.0972026	1.65019	0.058904	9.11089e-188	1584	295.125	1288.87	NA	322	256.115	65.8848	NA	NA	0.386549	1.827:2.10193:1.71463:1.76129:0.820988:1	0.412247(0.505682:0.392045:0.339015)	-3003.37	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_17-eukaryote_dfr_Cluster.10_18	MA	0.084651	1.05169	0.0804904	7.49889e-121	1578	309.121	1268.88	NA	279	209.712	69.2881	NA	NA	0.274088	1.44679:2.0183:1.23065:1.38887:0.776224:1	0.429975(0.512357:0.385932:0.391635)	-2946.72	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_17-eukaryote_dfr_Cluster.10_19	MA	0.0866237	0.970488	0.0892579	1.71745e-108	1578	315.062	1262.94	NA	272	200.325	71.6749	NA	NA	0.263095	1.87609:1.98087:1.57132:1.72177:0.803748:1	0.426172(0.507605:0.38308:0.387833)	-2948.44	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_17-eukaryote_dfr_Cluster.10_20	MA	0.0820223	0.918881	0.0892632	9.95565e-105	1581	313.826	1267.17	NA	264	194.056	69.9435	NA	NA	0.248138	1.46052:2.46974:0.931041:1.20706:0.699192:1	0.427894(0.508539:0.386148:0.388994)	-2923.52	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_17-eukaryote_dfr_Cluster.10_21	MA	0.0744615	0.898682	0.0828563	1.36975e-103	1578	319.35	1258.65	NA	254	191.473	62.5275	NA	NA	0.241264	1.64524:2.35601:1.13048:1.24742:0.639119:1	0.424588(0.505703:0.38403:0.38403)	-2889	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_17-eukaryote_dfr_Cluster.10_22	MA	0.07889	1.16227	0.0678758	1.93903e-133	1581	287.192	1293.81	NA	271	207.539	63.4615	NA	NA	0.275689	1.47627:2.27741:1.4771:1.46617:0.828984:1	0.413662(0.501898:0.381404:0.357685)	-2902.17	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_18-eukaryote_dfr_Cluster.10_19	MA	0.0454471	0.47789	0.0950994	8.32052e-57	1575	325.587	1249.41	NA	169	123.815	45.1847	NA	NA	0.134842	1.69539:1.78817:1.31654:1.63671:0.661595:1	0.433651(0.52:0.392381:0.388571)	-2698.05	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_18-eukaryote_dfr_Cluster.10_20	MA	0.0379829	0.388692	0.0977199	4.46792e-47	1575	338.056	1236.94	NA	144	106.073	37.927	NA	NA	0.113259	1.2554:1.91268:0.703833:1.38668:0.382253:1	0.435238(0.520952:0.392381:0.392381)	-2653.84	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_18-eukaryote_dfr_Cluster.10_21	MA	0.0395456	0.405891	0.0974292	2.66063e-48	1575	336.485	1238.51	NA	149	109.671	39.3292	NA	NA	0.117812	1.27429:2.04735:0.688415:1.22046:0.398356:1	0.432063(0.518095:0.393333:0.384762)	-2665.93	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_18-eukaryote_dfr_Cluster.10_22	MA	0.0861243	1.25232	0.068772	5.40696e-144	1581	330.036	1250.96	NA	299	237.175	61.825	NA	NA	0.329569	1.86731:1.96145:1.83759:1.80989:1.0079:1	0.42062(0.514231:0.390892:0.356736)	-3011.58	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_19-eukaryote_dfr_Cluster.10_20	MA	0.0289363	0.274901	0.105261	1.40955e-33	1590	345.099	1244.9	NA	113	81.901	31.099	NA	NA	0.0823215	2.36731:2.41879:1.71961:1.74833:0.64073:1	0.431761(0.515094:0.393396:0.386792)	-2555.63	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_19-eukaryote_dfr_Cluster.10_21	MA	0.0268508	0.276374	0.0971541	1.10776e-34	1590	338.054	1251.95	NA	110	80.8943	29.1057	NA	NA	0.0799026	2.15861:2.18611:1.58923:1.59783:0.671736:1	0.427987(0.511321:0.393396:0.379245)	-2540.41	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_19-eukaryote_dfr_Cluster.10_22	MA	0.0878345	1.18176	0.0743253	1.61055e-133	1578	302.542	1275.46	NA	285	217.004	67.9961	NA	NA	0.297567	1.97284:2.15115:1.77441:1.77792:1.15858:1	0.417934(0.509506:0.388783:0.355513)	-2938.32	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_1-eukaryote_dfr_Cluster.10_10	MA	0.108375	0.881776	0.122906	1.27286e-94	1665	358.88	1306.12	NA	306	211.427	94.5728	NA	NA	0.275077	2.71077:2.65662:2.14698:2.19527:0.821962:1	0.43003(0.497297:0.391892:0.400901)	-3166.97	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_1-eukaryote_dfr_Cluster.10_11	MA	0.10588	1.38777	0.076295	4.29426e-157	1569	315.633	1253.37	NA	326	250.199	75.8013	NA	NA	0.363755	1.67209:1.73435:1.26992:1.31372:0.574815:1	0.42065(0.50956:0.383365:0.369025)	-3022.84	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_1-eukaryote_dfr_Cluster.10_12	MA	0.098237	1.38109	0.07113	1.2804e-151	1572	327.389	1244.61	NA	315	247.951	67.0485	NA	NA	0.365408	2.17796:2.5548:1.66695:1.79468:0.762225:1	0.423346(0.500954:0.382634:0.38645)	-2984.89	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_1-eukaryote_dfr_Cluster.10_13	MA	0.102044	1.29784	0.078626	1.22682e-146	1569	311.316	1257.68	NA	316	239.823	76.1774	NA	NA	0.339311	1.70061:1.75819:1.34778:1.41763:0.622299:1	0.418738(0.505736:0.379541:0.370937)	-2998.42	NA	NA	NA	eukaryote
