Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	Syn-Subs	Nonsyn-Subs	Fold-Syn-Subs(0:2:4)	Fold-Nonsyn-Subs(0:2:4)	Divergence-Distance	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model	kingdom
Eukaryota_ABCF3_12209-Eukaryota_ABCF3_12668	MA	0.154403	4.2766	0.0361042	0	2124	435.701	1688.3	NA	613	537.766	75.2336	NA	NA	1	0.997209:1.4147:0.868552:1.09044:0.531268:1	0.550141(0.612994:0.372175:0.665254)	-4300.41	NA	NA	NA	eukaryotes
Eukaryota_ABCF3_12650-Eukaryota_ABCF3_12887	MA	0.0086969	0.231186	0.0376186	1.05655e-45	1899	445.953	1453.05	NA	96	85.5179	10.4821	NA	NA	0.0609454	4.3927:4.51581:3.4836:3.50293:1.4634:1	0.561875(0.637441:0.389415:0.658768)	-2798.58	NA	NA	NA	eukaryotes
Eukaryota_ABCF3_12798-Eukaryota_ABCF3_12854	MA	0.150605	3.94807	0.0381465	0	2124	475.084	1648.92	NA	637	562.523	74.477	NA	NA	1	0.6964:1.76632:0.690102:0.876023:0.526265:1	0.529426(0.60452:0.371469:0.612288)	-4367.94	NA	NA	NA	eukaryotes
Eukaryota_ABCF3_13146-Eukaryota_ABCF3_13244	MA	0.086292	5.15768	0.0167308	0	2244	404.3	1839.7	NA	531	493.434	37.5655	NA	NA	1	0.366198:1.37615:0.524514:0.573311:0.484682:1	0.555481(0.596257:0.397059:0.673128)	-4358.73	NA	NA	NA	eukaryotes
Eukaryota_ABCF3_13166-Eukaryota_ABCF3_13209	MA	0.0109748	0.218761	0.0501681	3.07929e-40	1833	407.585	1425.42	NA	91	77.4172	13.5828	NA	NA	0.0571781	4.24677:3.53722:2.00938:1.9836:1.05323:1	0.566012(0.591653:0.373977:0.732406)	-2770.48	NA	NA	NA	eukaryotes
Eukaryota_ABCF3_84-Eukaryota_ABCF3_12817	MA	0.0213148	0.88025	0.0242145	4.09716e-140	2127	580.922	1546.08	NA	268	251.774	16.2256	NA	NA	0.255905	3.63986:6.06955:1.73752:1.55906:0.852856:1	0.555007(0.627645:0.383639:0.653738)	-3503.57	NA	NA	NA	eukaryotes
Eukaryota_eEF3_11783-Eukaryota_eEF3_13282	MA	0.137979	3.41875	0.0403593	0	2403	343.401	2059.6	NA	583	469.381	113.619	NA	NA	0.606819	0.372071:1.10707:0.614468:0.713439:0.424905:1	0.553059(0.589888:0.381398:0.68789)	-4774.55	NA	NA	NA	eukaryotes
Eukaryota_New1_11909-Eukaryota_New1_13040	MA	0.123633	5.58365	0.022142	0	3297	529.19	2767.81	NA	890	797.628	92.3723	NA	NA	1	0.438745:1.2404:0.617265:0.667902:0.490301:1	0.573552(0.607825:0.39263:0.7202)	-6591.02	NA	NA	NA	eukaryotes
ncldv_114-ncldv_130	MA	0.0171856	0.291732	0.0589091	4.61408e-39	1653	315.667	1337.33	NA	91	72.825	18.175	NA	NA	0.0696146	0.723139:0.809201:0.608438:0.641525:0.617989:1	0.277072(0.317604:0.213249:0.300363)	-2451.6	NA	NA	NA	ncldv
ncldv_11-ncldv_142	MA	0.0456705	2.5694	0.0177748	0	3090	470.124	2619.88	NA	478	434.919	43.0805	NA	NA	0.42964	1.05319:1.1021:0.883226:0.899934:0.441719:1	0.34288(0.470388:0.328155:0.230097)	-5115.78	NA	NA	NA	ncldv
ncldv_13-ncldv_15	MA	0.121282	6.47736	0.018724	0	2454	339.262	2114.74	NA	630	564.156	65.8443	NA	NA	1	0.797866:1.07971:1.0832:1.00402:0.728286:1	0.367767(0.528729:0.34291:0.231663)	-4651	NA	NA	NA	ncldv
ncldv_17-ncldv_155	MA	0.0698178	3.84158	0.0181742	0	1665	219.332	1445.67	NA	296	264.335	31.6649	NA	NA	0.566675	0.708885:0.906742:0.728238:0.93761:0.536982:1	0.298198(0.436937:0.302703:0.154955)	-2837.18	NA	NA	NA	ncldv
ncldv_24-ncldv_76	MA	0.0391344	0.447522	0.0874469	2.26098e-36	1509	199.596	1309.4	NA	101	64.1809	36.8191	NA	NA	0.0931519	2.74144:3.28051:1.97108:4.79085:0.61243:1	0.170974(0.230616:0.203777:0.0785288)	-2112.61	NA	NA	NA	ncldv
ncldv_26-ncldv_30	MA	0.0279644	0.753276	0.0371236	2.4794e-187	2754	661.056	2092.94	NA	364	325.717	38.2834	NA	NA	0.202064	1.50171:2.06536:0.864468:0.710191:0.7705:1	0.490559(0.545207:0.352397:0.574074)	-4756.74	NA	NA	NA	ncldv
ncldv_27-ncldv_33	MA	0.0127732	0.14636	0.0872724	1.71021e-35	2703	689.787	2013.21	NA	112	89.2634	22.7366	NA	NA	0.0468636	5.29455:4.87112:3.27706:2.94414:0.889497:1	0.533111(0.573252:0.388457:0.637625)	-4063.75	NA	NA	NA	ncldv
ncldv_31-ncldv_36	MA	0.0727291	0.764118	0.0951805	4.96847e-98	1749	430.475	1318.53	NA	284	219.894	64.1064	NA	NA	0.242898	2.2288:3.33383:1.3252:1.55321:1.17928:1	0.447684(0.474271:0.391938:0.476844)	-3181.58	NA	NA	NA	ncldv
ncldv_46-ncldv_111	MA	0.0280672	0.38546	0.0728148	2.37841e-47	1650	321.455	1328.55	NA	122	93.7785	28.2215	NA	NA	0.0976949	1.5814:1.74694:1.11291:1.55299:0.364489:1	0.266364(0.332727:0.229091:0.237273)	-2521.09	NA	NA	NA	ncldv
ncldv_47-ncldv_56	MA	0.0551417	0.803029	0.0686671	2.90969e-83	1647	238.613	1408.39	NA	183	130.221	52.7787	NA	NA	0.163494	1.30116:3.06733:1.15504:7.16241:1.04918:1	0.248027(0.303279:0.227687:0.213115)	-2662.71	NA	NA	NA	ncldv
ncldv_48-ncldv_55	MA	0.0403217	0.541874	0.0744115	9.33672e-65	1650	312.938	1337.06	NA	161	122.161	38.8388	NA	NA	0.135446	0.764546:1.26326:0.504505:1.80952:0.572939:1	0.269091(0.313636:0.203636:0.29)	-2665.27	NA	NA	NA	ncldv
ncldv_57-ncldv_120	MA	0.119466	7.96527	0.0149983	0	2919	325.925	2593.08	NA	587	524.422	62.5779	NA	NA	0.9955	1.00288:1.21488:1.20397:1.17235:0.94512:1	0.256081(0.372559:0.303186:0.0924974)	-5065.27	NA	NA	NA	ncldv
ncldv_63-ncldv_119	MA	0.0205838	0.287848	0.0715092	1.10809e-27	1659	203.639	1455.36	NA	69	45.6633	23.3367	NA	NA	0.0533898	2.40322:2.74936:1.54961:2.58707:0.50989:1	0.174201(0.23689:0.214286:0.0714286)	-2157.85	NA	NA	NA	ncldv
ncldv_72-ncldv_78	MA	0.15497	3.78761	0.040915	0	1647	383.128	1263.87	NA	463	407.94	55.0602	NA	NA	1	0.617726:0.781874:0.377967:0.750252:0.25424:1	0.361263(0.358834:0.245902:0.479053)	-3327.79	NA	NA	NA	ncldv
ncldv_74-ncldv_84	MA	0.0211934	0.610261	0.0347284	9.94534e-81	1647	289.714	1357.29	NA	140	120.409	19.5906	NA	NA	0.124813	1.53019:1.70584:1.18617:2.9497:1.07415:1	0.233151(0.26867:0.222222:0.208561)	-2470.85	NA	NA	NA	ncldv
ncldv_74-ncldv_89	MA	0.0207563	0.467134	0.0444334	1.24104e-62	1647	299.951	1347.05	NA	123	102.539	20.4612	NA	NA	0.10205	1.88849:2.01758:1.50201:2.11733:1.18679:1	0.231937(0.265938:0.223133:0.20674)	-2427.61	NA	NA	NA	ncldv
ncldv_82-ncldv_88	MA	0.0543778	0.886192	0.0613612	2.36204e-101	1749	296.117	1452.88	NA	211	162.175	48.8252	NA	NA	0.195209	1.00294:0.989951:0.829567:0.822341:0.534498:1	0.276158(0.317324:0.342196:0.168954)	-2895.78	NA	NA	NA	ncldv
ncldv_84-ncldv_89	MA	0.020146	0.625456	0.0322101	4.75124e-80	1647	292.188	1354.81	NA	136	118.328	17.6724	NA	NA	0.127532	1.15518:1.88633:0.649987:0.737538:1.12354:1	0.232544(0.266849:0.223133:0.20765)	-2435.24	NA	NA	NA	ncldv
ncldv_93-ncldv_114	MA	0.00434589	0.196051	0.0221672	5.70857e-22	1104	187.542	916.458	NA	34	30.677	3.32304	NA	NA	0.0369118	0.602226:0.622329:0.480016:0.46646:0.589045:1	0.283967(0.341033:0.22962:0.28125)	-1519.21	NA	NA	NA	ncldv
ncldv_93-ncldv_130	MA	0.01106	0.260657	0.0424311	2.28506e-26	1104	205.022	898.978	NA	52	43.8429	8.15705	NA	NA	0.0574122	0.973562:1.5172:0.639497:0.690851:0.570879:1	0.288496(0.345109:0.228261:0.29212)	-1601.74	NA	NA	NA	ncldv
phage_13-phage_14	MA	0.00475277	0.144288	0.0329394	2.51146e-11	609	130.218	478.782	NA	18	16.0555	1.94449	NA	NA	0.0345887	30:15.3873:6.62456:6.62456:0.01:1	0.302135(0.374384:0.300493:0.231527)	-826.548	NA	NA	NA	phage
phage_15-phage_17	MA	0.0146102	0.175129	0.083425	1.40632e-13	834	194.364	639.636	NA	38	29.8146	8.18545	NA	NA	0.0520192	10.0935:9.47032:7.45573:7.39168:1.16119:1	0.390288(0.514388:0.350719:0.305755)	-1257.12	NA	NA	NA	phage
phage_15-phage_19	MA	0.0164259	0.180745	0.090879	1.75351e-13	834	196.259	637.741	NA	40	30.8806	9.11936	NA	NA	0.0550939	11.3442:9.89466:7.31236:7.23256:1.09799:1	0.390288(0.516187:0.350719:0.303957)	-1261.21	NA	NA	NA	phage
phage_15-phage_22	MA	0.0162687	0.178198	0.0912958	3.04725e-13	834	191.328	642.672	NA	39	29.847	9.15297	NA	NA	0.0534168	10.6791:10.0864:7.90434:7.8432:1.11299:1	0.388489(0.516187:0.350719:0.298561)	-1258.87	NA	NA	NA	phage
phage_15-phage_30	MA	0.0164411	0.183075	0.0898054	1.03603e-13	834	192.959	641.041	NA	40	30.8084	9.19163	NA	NA	0.0549944	10.6935:10.5035:8.35072:8.29216:1.18378:1	0.389089(0.51259:0.350719:0.303957)	-1264.31	NA	NA	NA	phage
phage_15-phage_32	MA	0.015962	0.583205	0.0273694	1.0904e-44	834	180.03	653.97	NA	78	70.9464	7.05356	NA	NA	0.138409	2.46932:3.59791:1.15701:1.12626:0.908198:1	0.3753(0.501799:0.345324:0.278777)	-1345.21	NA	NA	NA	phage
phage_17-phage_19	MA	0.00180201	0.0258994	0.0695774	0.0030571	834	194.348	639.652	NA	6	4.88203	1.11797	NA	NA	0.00741745	24.2659:30:19.227:19.227:0.01:1	0.393285(0.523381:0.352518:0.303957)	-1132.48	NA	NA	NA	phage
phage_17-phage_22	MA	0.00534933	0.0415019	0.128894	0.000640813	834	193.72	640.28	NA	11	7.7138	3.2862	NA	NA	0.0137468	25.6095:30:19.3966:19.3966:0.01:1	0.391487(0.523381:0.352518:0.298561)	-1155.84	NA	NA	NA	phage
phage_17-phage_32	MA	0.0173978	0.694944	0.0250349	9.53895e-51	834	178.511	655.489	NA	85	77.844	7.15601	NA	NA	0.162421	1.92375:3.46445:0.689708:0.668465:0.860427:1	0.378297(0.508993:0.347122:0.278777)	-1358.38	NA	NA	NA	phage
phage_18-phage_24	MA	0.00224954	0.118054	0.0190552	7.49426e-12	1056	146.69	909.31	NA	15	13.4154	1.58464	NA	NA	0.018336	20.9127:5.30271:0.674674:0.655146:0.0202045:1	0.302083(0.450284:0.338068:0.117898)	-1355.38	NA	NA	NA	phage
phage_19-phage_30	MA	0.0034399	0.0314599	0.109342	0.00263713	834	193.088	640.912	NA	8	5.86968	2.13032	NA	NA	0.0099271	19.3496:30:13.96:13.96:0.01:1	0.392086(0.521583:0.352518:0.302158)	-1141.58	NA	NA	NA	phage
phage_19-phage_32	MA	0.0188734	0.649891	0.0290409	1.22864e-47	834	177.112	656.888	NA	83	74.9294	8.07061	NA	NA	0.152879	1.82205:3.32887:0.637484:0.615113:0.817533:1	0.378297(0.510791:0.347122:0.276978)	-1356.7	NA	NA	NA	phage
phage_20-phage_21	MA	0.0100092	0.188944	0.0529744	1.62088e-11	609	113.27	495.73	NA	23	18.6712	4.32881	NA	NA	0.0432899	0.89334:1.04275:0.649142:0.649142:0.266506:1	0.334154(0.421182:0.307882:0.273399)	-884.863	NA	NA	NA	phage
phage_20-phage_27	MA	0.0087397	0.11403	0.0766439	5.37967e-08	609	125.788	483.212	NA	17	13.1332	3.86677	NA	NA	0.0304872	2.72565:2.63955:1.58185:1.58185:0.136211:1	0.334154(0.421182:0.302956:0.278325)	-862.791	NA	NA	NA	phage
phage_20-phage_28	MA	0.00803542	0.172469	0.0465906	2.61786e-11	609	115.628	493.372	NA	21	17.5175	3.48245	NA	NA	0.0392555	0.966926:1.07493:0.71004:0.71004:0.155903:1	0.337438(0.426108:0.310345:0.275862)	-878.491	NA	NA	NA	phage
phage_21-phage_27	MA	0.00612294	0.0967696	0.0632734	5.85382e-07	609	118.999	490.001	NA	13	10.313	2.68697	NA	NA	0.0238353	1.48883:2.13355:0.894569:0.872245:1.18714:1	0.334975(0.413793:0.305419:0.285714)	-846.536	NA	NA	NA	phage
phage_22-phage_30	MA	0.0069416	0.0473985	0.146452	0.000485767	834	193.231	640.769	NA	13	8.7504	4.2496	NA	NA	0.0163151	22.2094:30:15.3479:15.3479:0.01:1	0.390288(0.521583:0.352518:0.296763)	-1163.55	NA	NA	NA	phage
phage_22-phage_32	MA	0.0186842	0.62098	0.0300882	5.8909e-46	834	173.693	660.307	NA	80	71.7886	8.21139	NA	NA	0.144121	1.66821:3.1391:0.576058:0.553452:0.81225:1	0.376499(0.510791:0.347122:0.271583)	-1350.53	NA	NA	NA	phage
phage_27-phage_28	MA	0.00852537	0.0775561	0.109925	2.12338e-05	609	128.799	480.201	NA	13	9.22095	3.77905	NA	NA	0.0231249	2.63141:3.99695:1.50342:1.48095:0.716721:1	0.338259(0.418719:0.307882:0.288177)	-848.734	NA	NA	NA	phage
phage_30-phage_32	MA	0.0158292	0.66858	0.0236758	6.48246e-51	834	178.585	655.415	NA	83	76.3646	6.6354	NA	NA	0.155603	1.94082:3.05502:0.864265:0.846011:0.793671:1	0.377098(0.507194:0.347122:0.276978)	-1354.85	NA	NA	NA	phage
phage_4-phage_20	MA	0.00394454	0.0744428	0.0529875	2.97806e-06	609	120.481	488.519	NA	10	8.23146	1.76854	NA	NA	0.0178915	1.34926:1.07149:0.63598:0.63598:0.174764:1	0.336617(0.426108:0.305419:0.278325)	-833.286	NA	NA	NA	phage
phage_4-phage_21	MA	0.00605075	0.101078	0.0598621	3.5096e-07	609	113.628	495.372	NA	13	10.3095	2.69051	NA	NA	0.0237811	0.481534:1.55338:0.254698:0.254698:0.845806:1	0.337438(0.418719:0.307882:0.285714)	-845.208	NA	NA	NA	phage
phage_4-phage_27	MA	0.00499556	0.0364262	0.137142	0.00647038	609	132.183	476.817	NA	7	4.6832	2.3168	NA	NA	0.0118176	26.7747:30:21.2207:21.2207:0.01:1	0.337438(0.418719:0.302956:0.29064)	-821.291	NA	NA	NA	phage
phage_4-phage_28	MA	0.00395907	0.0840053	0.0471288	6.97257e-07	609	122.094	486.906	NA	11	9.25967	1.74033	NA	NA	0.020007	0.705212:1.79795:0.372059:0.372059:0.364764:1	0.340722(0.423645:0.310345:0.288177)	-838.678	NA	NA	NA	phage
phage_4-phage_5	MA	0.00429375	0.0734509	0.0584573	1.63418e-06	609	132.817	476.183	NA	11	9.09403	1.90597	NA	NA	0.0193762	2.34013:2.5986:1.20116:1.20116:0.01:1	0.33908(0.416256:0.307882:0.293103)	-839.455	NA	NA	NA	phage
phage_5-phage_20	MA	0.00837652	0.162795	0.0514543	5.60417e-11	609	120.414	488.586	NA	21	17.3729	3.62708	NA	NA	0.0389089	1.35153:1.30917:0.934684:0.934684:0.0705543:1	0.335796(0.418719:0.307882:0.280788)	-877.328	NA	NA	NA	phage
phage_5-phage_21	MA	0.010543	0.0793332	0.132895	3.92193e-05	609	122.933	486.067	NA	14	9.17758	4.82242	NA	NA	0.024429	1.49755:1.49081:0.994395:0.994395:0.278266:1	0.336617(0.41133:0.310345:0.288177)	-855.473	NA	NA	NA	phage
phage_5-phage_27	MA	0.00889113	0.0624941	0.142272	0.00101012	609	133.986	475.014	NA	12	7.97668	4.02332	NA	NA	0.0206843	3.18164:3.59416:1.6291:1.6291:0.01:1	0.336617(0.41133:0.305419:0.293103)	-844.825	NA	NA	NA	phage
phage_5-phage_28	MA	0.00850073	0.0670465	0.126789	7.94116e-05	609	128.318	480.682	NA	12	8.13585	3.86415	NA	NA	0.0208365	1.97936:1.86326:1.1215:1.1215:0.143815:1	0.339901(0.416256:0.312808:0.29064)	-847.24	NA	NA	NA	phage
Bacteria_EttA_10037-Bacteria_EttA_13374	MA	0.956347	1.17121	0.816546	2.12187e-07	1656	336.447	1319.55	NA	1122	266.983	855.017	NA	NA	1	1.02511:1.05042:0.926269:0.92633:0.811945:1	0.669988(0.807065:0.380435:0.822464)	-4171.73	NA	NA	NA	bacteria
Bacteria_EttA_1020-Bacteria_EttA_4155	MA	0.125304	5.0153	0.0249843	0	1671	178.237	1492.76	NA	333	275.378	57.6221	NA	NA	0.646893	0.35235:0.903964:0.358227:0.826711:0.538758:1	0.667864(0.671454:0.385996:0.94614)	-2926.99	NA	NA	NA	bacteria
Bacteria_EttA_1030-Bacteria_EttA_10488	MA	0.122752	7.02667	0.0174694	0	1662	184.419	1477.58	NA	357	313.167	43.8328	NA	NA	0.888826	0.614485:1.54064:0.732936:0.814665:0.655112:1	0.64651(0.655235:0.380866:0.90343)	-3062.01	NA	NA	NA	bacteria
Bacteria_EttA_10378-Bacteria_EttA_15474	MA	0.118142	2.38795	0.0494741	0	1662	143.082	1518.92	NA	291	190.794	100.206	NA	NA	0.31355	0.61862:1.36453:0.843265:0.878636:0.605736:1	0.663057(0.663357:0.368231:0.957581)	-2862.26	NA	NA	NA	bacteria
Bacteria_EttA_10378-Bacteria_EttA_15831	MA	0.920121	1.3439	0.684665	2.58434e-30	1659	312.711	1346.29	NA	1157	293.087	863.913	NA	NA	1	1.06787:1.08048:0.962184:0.988159:0.759889:1	0.667872(0.794756:0.383363:0.825497)	-4211.85	NA	NA	NA	bacteria
Bacteria_EttA_1042-Bacteria_EttA_7057	MA	0.956909	1.16586	0.820774	2.96744e-07	1668	343.986	1324.01	NA	1125	270.485	854.515	NA	NA	1	0.778626:0.812096:0.684087:0.80686:0.645695:1	0.670863(0.821043:0.378597:0.81295)	-4186.91	NA	NA	NA	bacteria
