abb	kingdom	order	family	full	ARG	AR	phylum	lastLevel
ncldv_54	ncldv	Imitervirales	Mimiviridae	SRX327520.21.dc.fa|contig_205087_22	NA	NA	NA	NA
ncldv_55	ncldv	Imitervirales	Mimiviridae	SRX696246.4.dc.fa|contig_367_146	NA	NA	NA	NA
ncldv_56	ncldv	Imitervirales	Mimiviridae	SRX802077.79.dc.fa|contig_8904_19	NA	NA	NA	NA
Archaea_ileS_1	Archaea	Thermoplasmatales	Picrophilaceae	Q6L206.1	ileS	NA	NA	Picrophilus oshimae
Archaea_ileS_2	Archaea	Thermoplasmatales	Thermoplasmataceae	Q9HJT4.2	ileS	NA	NA	Thermoplasma acidophilum
Archaea_ileS_3	Archaea	Thermoplasmatales	Thermoplasmataceae	Q97AG7.1	ileS	NA	NA	Thermoplasma volcanium
Archaea_ileS_4	Archaea	Archaeoglobales	Archaeoglobaceae	O29622.1	ileS	NA	NA	Archaeoglobus fulgidus
Archaea_ileS_5	Archaea	Methanobacteriales	Methanobacteriaceae	P26499.3	ileS	NA	NA	Methanothermobacter marburgensis
Archaea_ileS_6	Archaea	Methanobacteriales	Methanobacteriaceae	O27428.3	ileS	NA	NA	Methanothermobacter thermautotrophicus
Archaea_ileS_7	Archaea	Methanococcales	Methanocaldococcaceae	Q58357.1	ileS	NA	NA	Methanocaldococcus jannaschii
Archaea_ileS_8	Archaea	Methanococcales	Methanococcaceae	A6UVK2.1	ileS	NA	NA	Methanococcus aeolicus
Archaea_ileS_9	Archaea	Methanococcales	Methanococcaceae	Q6LX78.1	ileS	NA	NA	Methanococcus maripaludis
Archaea_ileS_10	Archaea	Methanopyrales	Methanopyraceae	Q8TWY2.1	ileS	NA	NA	Methanopyrus kandleri
Archaea_ileS_11	Archaea	Halobacteriales	Haloarculaceae	Q5UZ84.1	ileS	NA	NA	Haloarcula marismortui
Archaea_ileS_12	Archaea	Halobacteriales	Haloarculaceae	Q3ITY7.1	ileS	NA	NA	Natronomonas pharaonis
Archaea_ileS_13	Archaea	Halobacteriales	Halobacteriaceae	Q9HN97.1	ileS	NA	NA	Halobacterium salinarum NRC-34001
Archaea_ileS_14	Archaea	Haloferacales	Haloferacaceae	Q18GW3.1	ileS	NA	NA	Haloquadratum walsbyi
Archaea_ileS_15	Archaea	Methanomicrobiales	Methanocorpusculaceae	A2SPV6.1	ileS	NA	NA	Methanocorpusculum labreanum
Archaea_ileS_16	Archaea	Methanomicrobiales	Methanomicrobiaceae	A3CSI6.1	ileS	NA	NA	Methanoculleus marisnigri
Archaea_ileS_17	Archaea	Methanomicrobiales	Methanoregulaceae	A7IAM2.1	ileS	NA	NA	Methanoregula boonei
Archaea_ileS_18	Archaea	Methanomicrobiales	Methanospirillaceae	Q2FPJ4.1	ileS	NA	NA	Methanospirillum hungatei
Archaea_ileS_19	Archaea	Methanosarcinales	Methanosarcinaceae	Q12ZD1.1	ileS	NA	NA	Methanococcoides burtonii
Archaea_ileS_20	Archaea	Methanosarcinales	Methanosarcinaceae	Q8TN62.1	ileS	NA	NA	Methanosarcina acetivorans
Archaea_ileS_21	Archaea	Methanosarcinales	Methanosarcinaceae	Q465G4.1	ileS	NA	NA	Methanosarcina barkeri
Archaea_ileS_22	Archaea	Methanosarcinales	Methanosarcinaceae	Q8PSV9.1	ileS	NA	NA	Methanosarcina mazei
Archaea_ileS_23	Archaea	Methanotrichales	Methanotrichaceae	A0B7P3.1	ileS	NA	NA	Methanothrix thermoacetophila
Archaea_ileS_24	Archaea	Thermococcales	Thermococcaceae	Q9V072.1	ileS	NA	NA	Pyrococcus abyssi
Archaea_ileS_25	Archaea	Thermococcales	Thermococcaceae	P46214.2	ileS	NA	NA	Pyrococcus furiosus
Archaea_ileS_26	Archaea	Thermococcales	Thermococcaceae	O58792.1	ileS	NA	NA	Pyrococcus horikoshii
Archaea_ileS_27	Archaea	Thermococcales	Thermococcaceae	Q5JJ31.1	ileS	NA	NA	Thermococcus kodakarensis
Archaea_ileS_28	Archaea	Desulfurococcales	Desulfurococcaceae	Q9YF67.1	ileS	NA	NA	Aeropyrum pernix
Archaea_ileS_29	Archaea	Sulfolobales	Sulfolobaceae	Q9UXB1.1	ileS	NA	NA	Saccharolobus solfataricus
Archaea_ileS_30	Archaea	Sulfolobales	Sulfolobaceae	P46215.2	ileS	NA	NA	Sulfolobus acidocaldarius
Archaea_ileS_31	Archaea	Sulfolobales	Sulfolobaceae	C3MVH6.1	ileS	NA	NA	Sulfolobus islandicus
Archaea_ileS_32	Archaea	Sulfolobales	Sulfolobaceae	C3N5S5.1	ileS	NA	NA	Sulfolobus islandicus
Archaea_ileS_33	Archaea	Thermoproteales	Thermoproteaceae	Q8ZWU4.1	ileS	noEvidence	NA	Pyrobaculum aerophilum
Bacteria_ileS_1	Bacteria	Bacillales	Staphylococcaceae	P41368	ileS	mupirocin	Bacillota	Staphylococcus aureus
Bacteria_ileS_2	Bacteria	Mycobacteriales	Mycobacteriaceae	Q10765	ileS	mupirocin	Actinomycetota	Mycobacterium tuberculosis CDC1551
Bacteria_ileS_3	Bacteria	Bacillales	Staphylococcaceae	P41972	ileS	sensitive	Bacillota	Staphylococcus aureus
Bacteria_ileS_4	Bacteria	Pasteurellales	Pasteurellaceae	P43824	ileS	sensitive	Pseudomonadota	Haemophilus influenzae Rd KW20
Bacteria_ileS_5	Bacteria	Thermotogales	Thermotogaceae	P46213	ileS	sensitive	Thermotogota	Thermotoga maritima MSB8
Bacteria_ileS_6	Bacteria	Mycoplasmatales	Mycoplasmataceae	P47587	ileS	sensitive	Mycoplasmatota	Mycoplasmoides genitalium G37
Bacteria_ileS_7	Bacteria	Campylobacterales	Helicobacteraceae	P56456	ileS	sensitive	Campylobacterota	Helicobacter pylori 26695
Bacteria_ileS_8	Bacteria	Bacillales	Bacillaceae	Q45477	ileS	sensitive	Bacillota	Bacillus subtilis subsp. subtilis str. 168
Bacteria_ileS_9	Bacteria	Campylobacterales	Arcobacteraceae	A8ES62.1	ileS	noEvidence	NA	Aliarcobacter butzleri
Bacteria_ileS_10	Bacteria	Campylobacterales	Helicobacteraceae	Q17ZG3.1	ileS	noEvidence	NA	Helicobacter acinonychis
Bacteria_ileS_11	Bacteria	Campylobacterales	Helicobacteraceae	Q7VGX8.1	ileS	noEvidence	NA	Helicobacter hepaticus
Bacteria_ileS_12	Bacteria	Campylobacterales	Sulfurovaceae	A6QB84.1	ileS	noEvidence	NA	unclassified Sulfurovum
Bacteria_ileS_13	Bacteria	Nautiliales	Nautiliaceae	B9L8Z9.1	ileS	noEvidence	NA	Nautilia profundicola
Bacteria_ileS_14	Bacteria	Nautiliales	Nitratiruptoraceae	A6Q4I1.1	ileS	noEvidence	NA	unclassified Nitratiruptor
Bacteria_ileS_15	Bacteria	Chlamydiales	Chlamydiaceae	Q9Z972.1	ileS	noEvidence	NA	Chlamydia
Bacteria_ileS_16	Bacteria	Hyphomicrobiales	Nitrobacteraceae	Q89DF8.1	ileS	noEvidence	NA	Bradyrhizobium diazoefficiens
Bacteria_ileS_17	Bacteria	Rhodospirillales	Acetobacteraceae	Q5FRI6.1	ileS	noEvidence	NA	Gluconobacter oxydans
Bacteria_ileS_18	Bacteria	Rickettsiales	Anaplasmataceae	Q73HW7.1	ileS	noEvidence	NA	unclassified Wolbachia
Bacteria_ileS_19	Bacteria	Rickettsiales	Rickettsiaceae	Q1RIY1.1	ileS	noEvidence	NA	Rickettsia bellii
Bacteria_ileS_20	Bacteria	Burkholderiales	Burkholderiaceae	Q39DM8.1	ileS	noEvidence	NA	Burkholderia cepacia complex
Bacteria_ileS_21	Bacteria	Burkholderiales	Burkholderiaceae	B1YVA4.1	ileS	noEvidence	NA	Burkholderia ambifaria
Bacteria_ileS_22	Bacteria	Burkholderiales	Burkholderiaceae	B1JXC3.1	ileS	noEvidence	NA	Burkholderia orbicola
Bacteria_ileS_23	Bacteria	Burkholderiales	Burkholderiaceae	B3R6E8.1	ileS	noEvidence	NA	Cupriavidus taiwanensis
Bacteria_ileS_24	Bacteria	Neisseriales	Chromobacteriaceae	Q7NS57.1	ileS	noEvidence	NA	Chromobacterium violaceum
Bacteria_ileS_25	Bacteria	Neisseriales	Neisseriaceae	A1KS62.1	ileS	noEvidence	NA	Neisseria meningitidis serogroup C
Bacteria_ileS_26	Bacteria	Nitrosomonadales	Thiobacillaceae	Q3SHS3.1	ileS	noEvidence	NA	Thiobacillus denitrificans
Bacteria_ileS_27	Bacteria	Alteromonadales	Shewanellaceae	A1S425.1	ileS	noEvidence	NA	Shewanella amazonensis
Bacteria_ileS_28	Bacteria	Alteromonadales	Shewanellaceae	A3QBX2.1	ileS	noEvidence	NA	Shewanella loihica
Bacteria_ileS_29	Bacteria	Alteromonadales	Shewanellaceae	B8CSC1.1	ileS	noEvidence	NA	Shewanella piezotolerans
Bacteria_ileS_30	Bacteria	Cellvibrionales	Cellvibrionaceae	Q21HK3.1	ileS	noEvidence	NA	Saccharophagus degradans
Bacteria_ileS_31	Bacteria	Chromatiales	Ectothiorhodospiraceae	Q0AAD1.1	ileS	noEvidence	NA	Alkalilimnicola ehrlichii
Bacteria_ileS_32	Bacteria	Chromatiales	Ectothiorhodospiraceae	A1WY38.1	ileS	noEvidence	NA	Halorhodospira halophila
Bacteria_ileS_33	Bacteria	Enterobacterales	Bruguierivoracaceae	Q2NVY6.1	ileS	noEvidence	NA	Sodalis glossinidius
Bacteria_ileS_34	Bacteria	Enterobacterales	Enterobacteriaceae	P00956.5	ileS	noEvidence	NA	Escherichia coli
Bacteria_ileS_35	Bacteria	Enterobacterales	Enterobacteriaceae	A1A774.1	ileS	noEvidence	NA	Escherichia coli
Bacteria_ileS_36	Bacteria	Enterobacterales	Enterobacteriaceae	Q83MH2.1	ileS	noEvidence	NA	Shigella
Bacteria_ileS_37	Bacteria	Enterobacterales	Erwiniaceae	Q89AU9.1	ileS	noEvidence	NA	Buchnera aphidicola (Baizongia pistaciae)
Bacteria_ileS_38	Bacteria	Enterobacterales	Yersiniaceae	A1JJE1.1	ileS	noEvidence	NA	Yersinia enterocolitica subsp. enterocolitica
Bacteria_ileS_39	Bacteria	furtherCheck	furtherCheck	A1AW09.1	ileS	noEvidence	NA	Candidatus Ruthturnera calyptogenae
Bacteria_ileS_40	Bacteria	furtherCheck	furtherCheck	A5CX61.1	ileS	noEvidence	NA	Candidatus Vesicomyosocius
Bacteria_ileS_41	Bacteria	Legionellales	Coxiellaceae	B6J9J5.1	ileS	noEvidence	NA	Coxiella burnetii
Bacteria_ileS_42	Bacteria	Legionellales	Coxiellaceae	B6J1S2.1	ileS	noEvidence	NA	Coxiella burnetii
Bacteria_ileS_43	Bacteria	Legionellales	Coxiellaceae	A9KEI8.1	ileS	noEvidence	NA	Coxiella burnetii
Bacteria_ileS_44	Bacteria	Legionellales	Legionellaceae	A5IFX5.1	ileS	noEvidence	NA	Legionella pneumophila
Bacteria_ileS_45	Bacteria	Methylococcales	Methylococcaceae	Q605M7.1	ileS	noEvidence	NA	Methylococcus capsulatus
Bacteria_ileS_46	Bacteria	Moraxellales	Moraxellaceae	Q6FG02.1	ileS	noEvidence	NA	Acinetobacter baylyi
Bacteria_ileS_47	Bacteria	Pasteurellales	Pasteurellaceae	B3GZN4.1	ileS	noEvidence	NA	Actinobacillus pleuropneumoniae serovar 7
Bacteria_ileS_48	Bacteria	Pseudomonadales	Pseudomonadaceae	C1DPH5.1	ileS	noEvidence	NA	Azotobacter vinelandii
Bacteria_ileS_49	Bacteria	Pseudomonadales	Pseudomonadaceae	Q889E4.1	ileS	noEvidence	NA	Pseudomonas syringae pv. tomato
Bacteria_ileS_50	Bacteria	Thiotrichales	Francisellaceae	A0Q529.1	ileS	noEvidence	NA	Francisella tularensis subsp. novicida
Bacteria_ileS_51	Bacteria	Thiotrichales	Francisellaceae	A4IYP1.1	ileS	noEvidence	NA	Francisella tularensis subsp. tularensis
Bacteria_ileS_52	Bacteria	Thiotrichales	Francisellaceae	Q14HT2.1	ileS	noEvidence	NA	Francisella tularensis subsp. tularensis
Bacteria_ileS_53	Bacteria	Thiotrichales	Francisellaceae	Q5NGD0.1	ileS	noEvidence	NA	Francisella tularensis subsp. tularensis
Bacteria_ileS_54	Bacteria	Vibrionales	Vibrionaceae	Q5E7N4.1	ileS	noEvidence	NA	Aliivibrio fischeri
Bacteria_ileS_55	Bacteria	Vibrionales	Vibrionaceae	B6EMY6.1	ileS	noEvidence	NA	Aliivibrio salmonicida
Bacteria_ileS_56	Bacteria	Vibrionales	Vibrionaceae	Q6LUL1.1	ileS	noEvidence	NA	Photobacterium profundum
Bacteria_ileS_57	Bacteria	Vibrionales	Vibrionaceae	C3LST7.1	ileS	noEvidence	NA	Vibrio cholerae
Bacteria_ileS_58	Bacteria	Xanthomonadales	Xanthomonadaceae	Q5H2E1.1	ileS	noEvidence	NA	Xanthomonas oryzae pv. oryzae
Bacteria_ileS_59	Bacteria	Xanthomonadales	Xanthomonadaceae	Q9PAS7.1	ileS	noEvidence	NA	Xylella fastidiosa
Bacteria_ileS_60	Bacteria	Leptospirales	Leptospiraceae	B0STE5.1	ileS	noEvidence	NA	Leptospira biflexa serovar Patoc
Bacteria_ileS_61	Bacteria	Leptospirales	Leptospiraceae	B0SBW4.1	ileS	noEvidence	NA	Leptospira biflexa serovar Patoc
Bacteria_ileS_62	Bacteria	Kitasatosporales	Streptomycetaceae	Q9S2X5.1	ileS	noEvidence	NA	Streptomyces coelicolor
Bacteria_ileS_63	Bacteria	Bacillales	Bacillaceae	B9IVX2.1	ileS	noEvidence	NA	Bacillus cereus
Bacteria_ileS_64	Bacteria	Bacillales	Bacillaceae	B7HLM9.1	ileS	noEvidence	NA	Bacillus cereus
Bacteria_ileS_65	Bacteria	Bacillales	Bacillaceae	A7GRM0.1	ileS	noEvidence	NA	Bacillus cytotoxicus
Bacteria_ileS_66	Bacteria	Bacillales	Bacillaceae	A9VTD5.1	ileS	noEvidence	NA	Bacillus mycoides
Bacteria_ileS_67	Bacteria	Bacillales	Bacillaceae	A4IM25.1	ileS	noEvidence	NA	Geobacillus thermodenitrificans
Bacteria_ileS_68	Bacteria	Bacillales	Bacillaceae	Q5L0V9.1	ileS	noEvidence	NA	Geobacillus kaustophilus
Bacteria_ileS_69	Bacteria	Bacillales	Bacillaceae	Q9K9V0.1	ileS	noEvidence	NA	Halalkalibacterium halodurans
Bacteria_ileS_70	Bacteria	Bacillales	Staphylococcaceae	B9EB60.1	ileS	noEvidence	NA	Macrococcus caseolyticus
Bacteria_ileS_71	Bacteria	Bacillales	Staphylococcaceae	Q846V6.1	ileS	noEvidence	NA	Staphylococcus
Bacteria_ileS_72	Bacteria	Bacillales	Staphylococcaceae	P41972.1	ileS	noEvidence	NA	Staphylococcus
Bacteria_ileS_73	Bacteria	Bacillales	Staphylococcaceae	P41368.1	ileS	mupirocin	NA	Staphylococcus
Bacteria_ileS_74	Bacteria	Bacillales	Staphylococcaceae	A7X1D8.1	ileS	noEvidence	NA	Staphylococcus aureus
Bacteria_ileS_75	Bacteria	Bacillales	Staphylococcaceae	Q2YXH4.1	ileS	noEvidence	NA	Staphylococcus aureus
Bacteria_ileS_76	Bacteria	Bacillales	Staphylococcaceae	P67508.1	ileS	noEvidence	NA	Staphylococcus aureus
Bacteria_ileS_77	Bacteria	Bacillales	Staphylococcaceae	P67509.1	ileS	noEvidence	NA	Staphylococcus aureus
Bacteria_ileS_78	Bacteria	Bacillales	Staphylococcaceae	Q8NX29.1	ileS	noEvidence	NA	Staphylococcus aureus
Bacteria_ileS_79	Bacteria	Bacillales	Staphylococcaceae	B9DPP7.1	ileS	noEvidence	NA	Staphylococcus carnosus
Bacteria_ileS_80	Bacteria	Lactobacillales	Lactobacillaceae	A8YUP7.1	ileS	noEvidence	NA	Lactobacillus helveticus
Bacteria_ileS_81	Bacteria	Lactobacillales	Lactobacillaceae	Q38XM0.1	ileS	noEvidence	NA	Latilactobacillus sakei subsp. sakei
Bacteria_ileS_82	Bacteria	Lactobacillales	Streptococcaceae	Q9CEH8.1	ileS	noEvidence	NA	Lactococcus lactis subsp. lactis
Bacteria_ileS_83	Bacteria	Lactobacillales	Streptococcaceae	B5E709.1	ileS	noEvidence	NA	Streptococcus pneumoniae
Bacteria_ileS_84	Bacteria	Lactobacillales	Streptococcaceae	Q04JB0.1	ileS	noEvidence	NA	Streptococcus pneumoniae
Bacteria_ileS_85	Bacteria	Lactobacillales	Streptococcaceae	Q99YW3.1	ileS	noEvidence	NA	Streptococcus pyogenes
Bacteria_ileS_86	Bacteria	Caldicellulosiruptorales	Caldicellulosiruptoraceae	A4XKR2.1	ileS	noEvidence	NA	Caldicellulosiruptor saccharolyticus
Bacteria_ileS_87	Bacteria	Eubacteriales	Clostridiaceae	Q8XHE4.1	ileS	noEvidence	NA	Clostridium perfringens
Bacteria_ileS_88	Bacteria	Eubacteriales	Desulfitobacteriaceae	B8FT35.1	ileS	noEvidence	NA	Desulfitobacterium hafniense
Bacteria_ileS_89	Bacteria	Eubacteriales	Desulfitobacteriaceae	Q24TH1.1	ileS	noEvidence	NA	Desulfitobacterium hafniense
Bacteria_ileS_90	Bacteria	Eubacteriales	Peptococcaceae	A4J2F4.1	ileS	noEvidence	NA	Desulforamulus reducens
Bacteria_ileS_91	Bacteria	Eubacteriales	Symbiobacteriaceae	Q67Q27.1	ileS	noEvidence	NA	Symbiobacterium thermophilum
Bacteria_ileS_92	Bacteria	Eubacteriales	Syntrophomonadaceae	Q0AYC7.1	ileS	noEvidence	NA	Syntrophomonas wolfei subsp. wolfei
Bacteria_ileS_93	Bacteria	Halanaerobiales	Halothermotrichaceae	B8CWL4.1	ileS	noEvidence	NA	Halothermothrix orenii
Bacteria_ileS_94	Bacteria	Thermoanaerobacterales	Thermoanaerobacteraceae	B0K8R7.1	ileS	noEvidence	NA	Thermoanaerobacter pseudethanolicus
Bacteria_ileS_95	Bacteria	Thermoanaerobacterales	Thermoanaerobacteraceae	B0K2W1.1	ileS	noEvidence	NA	unclassified Thermoanaerobacter
Bacteria_ileS_96	Bacteria	Gloeobacterales	Gloeobacteraceae	Q7NF75.1	ileS	noEvidence	NA	Gloeobacter violaceus
Bacteria_ileS_97	Bacteria	Chroococcales	Aphanothecaceae	B7KFT1.1	ileS	noEvidence	NA	Gloeothece citriformis
Bacteria_ileS_98	Bacteria	Chroococcales	Aphanothecaceae	B7K5H5.1	ileS	noEvidence	NA	Rippkaea orientalis
Bacteria_ileS_99	Bacteria	Chroococcales	Microcystaceae	B0JSP4.1	ileS	noEvidence	NA	Microcystis aeruginosa
Bacteria_ileS_100	Bacteria	Oscillatoriales	Cyanothecaceae	B8HMX3.1	ileS	noEvidence	NA	unclassified Cyanothece
Bacteria_ileS_101	Bacteria	Thermales	Thermaceae	P56690.2	ileS	noEvidence	NA	Thermus thermophilus
Bacteria_ileS_102	Bacteria	Mycoplasmatales	Mycoplasmataceae	Q6MT28.1	ileS	noEvidence	NA	Mycoplasma mycoides subsp. mycoides SC
Bacteria_ileS_103	Bacteria	Mycoplasmatales	Mycoplasmataceae	A5IY09.1	ileS	noEvidence	NA	Mycoplasmopsis agalactiae
Bacteria_ileS_104	Bacteria	Mycoplasmatales	Mycoplasmataceae	Q98PQ2.1	ileS	noEvidence	NA	Mycoplasmopsis pulmonis
Bacteria_ileS_105	Bacteria	Mycoplasmoidales	Metamycoplasmataceae	Q7NBG0.2	ileS	noEvidence	NA	Mycoplasmoides gallisepticum str. R
Bacteria_ileS_106	Bacteria	Mycoplasmoidales	Metamycoplasmataceae	P47587.2	ileS	noEvidence	NA	Mycoplasmoides genitalium
Bacteria_ileS_107	Bacteria	Mycoplasmoidales	Mycoplasmoidaceae	Q8EUN9.1	ileS	noEvidence	NA	Malacoplasma penetrans
Bacteria_ileS_108	Bacteria	Desulfovibrionales	Desulfovibrionaceae	Q30ZF7.1	ileS	noEvidence	NA	Oleidesulfovibrio alaskensis
Bacteria_ileS_109	Bacteria	Petrotogales	Petrotogaceae	A9BI29.1	ileS	noEvidence	NA	Petrotoga mobilis
Bacteria_ileS1_1	Bacteria	Pseudomonadales	Pseudomonadaceae	P18330.2	ileS1	noEvidence	NA	Pseudomonas fluorescens group
Bacteria_ileS1_2	Bacteria	Bacillales	Bacillaceae	Q8ER41.1	ileS1	noEvidence	NA	Oceanobacillus iheyensis
Bacteria_ileS2_1	Bacteria	Pseudomonadales	Pseudomonadaceae	BAC07171.1	ileS2	mupirocin	Pseudomonadota	Pseudomonas fluorescens
