Contig	Element	Start	End	MGE.type	genome
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_300	267914	268978	endonuclease	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_305	272980	274026	endonuclease	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_316	285961	287541	IS/transposase	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_317	287630	288196	integrase	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_317	287630	288196	resolvase	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_345	320330	321100	endonuclease	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_410	395734	396165	resolvase	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_411	396162	396827	resolvase	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_432	424198	425223	endonuclease	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_443	435711	436337	endonuclease	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_489	481756	483051	endonuclease	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_524	524824	529260	endonuclease	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_530	533832	535415	recombinase	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_597	610780	611673	endonuclease	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_663	693229	693762	endonuclease	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_745	770361	771665	endonuclease	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_758	782783	784687	IS/transposase	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	IS607	285596	287602	IS/transposase	GCA.000904035.1.ViralProj186430
GCA_002827745.1_ASM282774v1|KX008963.1	GCA_002827745.1_ASM282774v1|KX008963.1_221	186775	187221	IS/transposase	GCA.002827745.1.ASM282774v1
GCA_002827745.1_ASM282774v1|KX008963.1	GCA_002827745.1_ASM282774v1|KX008963.1_221	186775	187221	integrase	GCA.002827745.1.ASM282774v1
GCA_002827745.1_ASM282774v1|KX008963.1	GCA_002827745.1_ASM282774v1|KX008963.1_138	111460	112710	IS/transposase	GCA.002827745.1.ASM282774v1
GCA_002827745.1_ASM282774v1|KX008963.1	GCA_002827745.1_ASM282774v1|KX008963.1_145	115878	116702	recombinase	GCA.002827745.1.ASM282774v1
GCA_002827745.1_ASM282774v1|KX008963.1	GCA_002827745.1_ASM282774v1|KX008963.1_200	164570	165049	endonuclease	GCA.002827745.1.ASM282774v1
GCA_002827745.1_ASM282774v1|KX008963.1	GCA_002827745.1_ASM282774v1|KX008963.1_217	185530	186762	IS/transposase	GCA.002827745.1.ASM282774v1
GCA_002827745.1_ASM282774v1|KX008963.1	GCA_002827745.1_ASM282774v1|KX008963.1_218	186775	187221	resolvase	GCA.002827745.1.ASM282774v1
GCA_002966215.1_ASM296621v1|KY684091.1	GCA_002966215.1_ASM296621v1|KY684091.1_2	344	964	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684091.1	GCA_002966215.1_ASM296621v1|KY684091.1_2	344	964	resolvase	GCA.002966215.1.ASM296621v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_35	49981	50667	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_35	49981	50667	integrase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_1023	1033792	1034571	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_1040	1048541	1049320	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_1051	1063295	1064158	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_1061	1073287	1074033	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_1067	1078589	1079431	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_1096	1112702	1113493	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_20	31898	32563	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_323	340754	342139	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_37	49981	50667	resolvase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_38	50791	52371	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_42	56779	58752	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_460	464424	465155	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_541	548157	548483	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_567	584153	585529	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_633	642616	643992	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_64	81807	82403	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_649	655043	655753	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_66	84861	85934	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_778	792120	792563	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_830	852394	853782	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	GCA_002966235.1_ASM296623v1|KY684083.1_973	985484	986284	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	IS607	50731	53121	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	IS607	340651	342213	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	IS607	584053	585896	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	IS607	642513	644317	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	IS607	852069	853884	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	IS5	1033575	1034712	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	IS5	1048326	1049459	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684083.1	IS5	1063181	1064364	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966275.1_ASM296627v1|KY684110.1	GCA_002966275.1_ASM296627v1|KY684110.1_14	13709	14308	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684110.1	GCA_002966275.1_ASM296627v1|KY684110.1_115	108369	109889	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684110.1	GCA_002966275.1_ASM296627v1|KY684110.1_127	120598	121149	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684110.1	GCA_002966275.1_ASM296627v1|KY684110.1_14	13709	14308	recombinase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684110.1	GCA_002966275.1_ASM296627v1|KY684110.1_14	13709	14308	resolvase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684110.1	GCA_002966275.1_ASM296627v1|KY684110.1_143	137481	139226	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684110.1	GCA_002966275.1_ASM296627v1|KY684110.1_15	14347	16290	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684110.1	GCA_002966275.1_ASM296627v1|KY684110.1_153	146860	147573	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684110.1	GCA_002966275.1_ASM296627v1|KY684110.1_252	234602	236245	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684110.1	GCA_002966275.1_ASM296627v1|KY684110.1_3	2834	3355	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684110.1	GCA_002966275.1_ASM296627v1|KY684110.1_85	78151	79356	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684110.1	IS200/IS605	14347	16290	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684110.1	IS607	234554	236349	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684111.1	GCA_002966275.1_ASM296627v1|KY684111.1_136	122023	122625	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684111.1	GCA_002966275.1_ASM296627v1|KY684111.1_135	120353	121960	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684111.1	GCA_002966275.1_ASM296627v1|KY684111.1_136	122023	122625	integrase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684111.1	GCA_002966275.1_ASM296627v1|KY684111.1_136	122023	122625	resolvase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684111.1	GCA_002966275.1_ASM296627v1|KY684111.1_41	41116	41439	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684111.1	GCA_002966275.1_ASM296627v1|KY684111.1_80	73224	74306	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684111.1	IS607	120233	122019	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_73	75167	75742	IS/transposase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_774	940033	940608	IS/transposase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_774	940033	940608	integrase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_211	233368	234807	IS/transposase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_274	317171	318358	endonuclease	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_330	391770	392657	endonuclease	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_390	469845	471500	endonuclease	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_390	469845	471500	recombinase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_423	516142	517557	endonuclease	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_425	518665	519471	endonuclease	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_544	681308	682078	endonuclease	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_607	761764	762327	endonuclease	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_61	62692	63486	endonuclease	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_74	75167	75742	resolvase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_75	75849	77486	IS/transposase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_752	921752	922732	endonuclease	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_770	938281	939690	IS/transposase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_771	939723	939926	IS/transposase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_772	940033	940608	resolvase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_792	960089	960913	endonuclease	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	GCA_002966375.1_ASM296637v1|KM982402.1_840	1016810	1018375	IS/transposase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	new	75116	77571	IS/transposase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	IS200/IS605	233368	234807	IS/transposase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	new	938196	940659	IS/transposase	GCA.002966375.1.ASM296637v1
GCA_002966375.1_ASM296637v1|KM982402.1	IS200/IS605	1016810	1018375	IS/transposase	GCA.002966375.1.ASM296637v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_106	117987	118562	IS/transposase	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_828	994732	995304	IS/transposase	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_106	117987	118562	integrase	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_828	994732	995304	integrase	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_108	117987	118562	resolvase	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_109	118669	120306	IS/transposase	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_193	207421	208869	IS/transposase	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_224	246612	248201	IS/transposase	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_241	270141	271595	endonuclease	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_257	293003	293995	endonuclease	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_261	297454	298650	endonuclease	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_316	371802	372740	endonuclease	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_376	450013	451662	endonuclease	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_376	450013	451662	recombinase	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_410	496343	497764	endonuclease	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_412	498878	499684	endonuclease	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_535	658881	659651	endonuclease	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_598	740012	740575	endonuclease	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_738	894573	895592	endonuclease	GCA.002966385.1.ASM296638v1
GCA_002966385.1_ASM296638v1|KM982401.1	GCA_002966385.1_ASM296638v1|KM982401.1_775	930663	931487	endonuclease	GCA.002966385.1.ASM296638v1
